RA,DEC,zabs,zem,NHI
116.25195833333332,34.29197222222222,2.99463,3.7100000381469727,20.3
145.03516666666664,2.535861111111111,2.56537,3.2200000286102295,20.7
151.1184583333333,0.3071111111111111,2.53997,3.049999952316284,21.0
151.1184583333333,0.3071111111111111,2.685,3.049999952316284,21.35
183.16004166666661,67.989,2.22131,2.569999933242798,20.4
187.88283333333334,-1.8973888888888888,3.67024,3.9000000953674316,20.3
4.826791666666666,15.10313888888889,3.97104,4.152900218963623,20.4
10.22770833333333,-9.257416666666666,4.73981,4.97599983215332,20.55
17.241749999999996,0.8540555555555556,2.75699,2.9521000385284424,20.6
17.241749999999996,0.8540555555555556,2.90096,2.9521000385284424,20.95
52.83191666666666,-7.695305555555556,4.19164,4.709000110626221,20.5
123.38883333333331,35.13633333333333,4.30337,4.922999858856201,20.35
125.053125,34.72383333333334,2.91448,3.492000102996826,20.35
137.04312499999997,2.6385277777777776,2.96043,3.686000108718872,20.95
147.55854166666666,58.026805555555555,3.26583,3.9590001106262207,20.8
168.10074999999995,0.7750833333333333,3.79416,4.0391998291015625,20.45
181.17379166666663,-0.36374999999999996,4.67434,5.0320000648498535,20.7
181.41475,1.7323611111111112,3.28551,3.8559999465942383,20.7
183.91199999999998,62.312305555555554,3.74452,3.953000068664551,21.25
189.90487499999998,67.67244444444445,4.25451,4.400300025939941,20.3
210.6832083333333,59.16636111111111,3.77888,4.135000228881836,21.75
215.94674999999998,61.64675,2.60709,2.8970000743865967,20.95
215.94674999999998,61.64675,2.71476,2.8970000743865967,20.8
229.56904166666666,53.65208333333333,2.89479,3.081399917602539,20.6
229.56904166666666,53.65208333333333,3.01465,3.081399917602539,20.65
230.19358333333332,52.98977777777778,3.1792,3.374000072479248,20.65
318.7097083333333,-6.549166666666666,3.93388,4.256999969482422,21.15
318.7097083333333,-6.549166666666666,4.12683,4.256999969482422,20.85
336.2882916666666,-0.23522222222222222,4.21893,4.886000156402588,20.55
339.5823333333333,-9.351666666666667,2.86906,3.259000062942505,20.65
117.804375,31.34386111111111,3.384,3.760999917984009,20.45
124.554375,26.526916666666665,3.5651,4.179500102996826,20.8
128.45829166666667,4.533333333333333,3.30214,3.562000036239624,20.45
148.79716666666664,59.67519444444444,3.84601,4.335999965667725,20.5
151.06720833333333,43.79419444444444,4.47437,4.873000144958496,21.0
153.40137499999997,42.67402777777777,4.79966,5.038000106811523,20.4
155.7542083333333,7.155055555555556,3.37809,3.7950000762939453,20.45
164.43520833333332,6.487333333333333,2.5,3.1429998874664307,20.5
173.99975,0.4063055555555556,3.6845,4.057000160217285,20.5
175.51299999999998,9.066749999999999,3.2061,3.6730000972747803,21.4
178.204875,9.779527777777778,3.63,3.9670000076293945,21.3
178.34033333333332,10.186916666666667,3.4688,4.126999855041504,20.55
178.34033333333332,10.186916666666667,3.7957,4.126999855041504,21.5
185.17499999999998,44.70505555555556,4.57422,4.6579999923706055,20.45
195.56549999999996,55.09816666666667,4.13749,4.435999870300293,20.35
197.91774999999998,56.071361111111116,3.2457,3.6760001182556152,20.8
202.72066666666666,52.92041666666666,2.22958,2.5199999809265137,20.55
208.39479166666663,-3.172833333333333,2.56,2.9739999771118164,20.35
211.9140833333333,60.51005555555555,4.66257,4.794000148773193,20.3
214.7524583333333,57.80855555555555,2.8813,2.937000036239624,20.35
219.64979166666663,43.249805555555554,4.3999,4.611000061035156,20.85
221.08662499999997,38.00013888888889,3.76304,4.302999973297119,20.55
221.08662499999997,38.00013888888889,3.94322,4.302999973297119,20.7
229.69204166666663,48.37936111111111,2.9854,3.253999948501587,20.95
232.8745833333333,45.285444444444444,4.08542,4.183000087738037,20.3
246.61041666666665,27.859,5.0756,5.184700012207031,20.95
247.80024999999998,27.52808333333333,2.7699,3.2660000324249268,21.0
253.47754166666664,40.90058333333333,4.57422,4.9770002365112305,20.35
116.80520833333331,17.996722222222225,3.57387,3.746999979019165,20.45
117.804375,31.34386111111111,3.2237,3.760999917984009,20.45
117.97958333333332,45.27211111111111,2.92912,3.3399999141693115,20.35
117.97958333333332,45.27211111111111,3.04572,3.3399999141693115,20.45
119.78154166666666,18.015194444444443,4.6578,4.861999988555908,20.8
128.62266666666665,21.673527777777778,4.38987,4.497200012207031,20.7
155.15479166666665,38.50875,3.25827,3.4820001125335693,20.4
156.42245833333328,12.085194444444445,3.10284,3.5799999237060547,20.3
159.35595833333332,39.353388888888894,3.12128,3.2950000762939453,20.3
160.0104583333333,31.080527777777778,3.21778,3.549999952316284,20.55
162.10845833333332,39.18622222222222,2.29674,2.7950000762939453,20.55
162.84595833333333,35.75952777777778,4.34545,4.89900016784668,20.55
162.84595833333333,35.75952777777778,4.82082,4.89900016784668,20.4
164.62512499999997,33.64980555555555,3.29235,3.8329999446868896,20.85
167.23112499999996,12.164805555555557,3.39258,3.674499988555908,20.45
167.23112499999996,12.164805555555557,3.5461,3.674499988555908,20.75
167.96499999999997,13.543305555555555,2.27027,2.432800054550171,20.5
