RA,DEC,zabs,zem,NHI,plate,fiber
159.05394,0.18334324,2.929020552423105,2.989319086074829,20.415409088134766,273,631
167.07983,-0.97332033,4.020931548516709,4.575846195220947,20.503435134887695,278,215
167.07983,-0.97332033,3.847125903117859,4.575846195220947,20.466466903686523,278,215
167.07983,-0.97332033,4.42605636188506,4.575846195220947,20.526491165161133,278,215
168.50614,-0.88920894,4.262405385364845,4.613777160644531,20.40691566467285,279,245
189.5903,1.0885305,2.5382156619982084,3.129749059677124,20.3367919921875,290,566
196.29847,-1.712486,3.5194366231143395,3.630995988845825,20.330780029296875,339,408
257.89342,60.877914,3.6300352832818907,3.8330399990081787,20.366376876831055,351,12
259.50086,62.223795,3.616196640349064,3.6848580837249756,20.3818416595459,352,201
259.53612,55.253114,4.312320889157699,4.604347229003906,20.436494827270508,367,229
330.03609,0.29578935,4.493944914051835,4.799555778503418,20.41716957092285,372,498
355.44696,0.26442839,3.352956233355651,3.9630770683288574,20.68991470336914,385,492
355.44696,0.26442839,3.611946923488265,3.9630770683288574,20.667543411254883,385,492
41.560586,0.90759569,2.460862145026563,3.018347978591919,20.40726661682129,409,412
47.653549,0.92266578,3.1179806405424246,3.7873940467834473,20.38227081298828,412,446
48.716958,0.22955789,2.635668693934879,3.2050490379333496,20.331527709960938,412,621
54.728217,-0.089139629,2.74700524127221,3.0662078857421875,20.3820743560791,416,228
23.324118,14.716788,2.975431737803272,3.235809087753296,20.379104614257812,425,554
120.90156,43.465943,2.771241120117514,2.894489049911499,20.435819625854492,437,532
123.17134,44.35806,4.177073139820387,4.346492767333984,20.43333625793457,439,104
127.76252,52.592677,4.18065057071012,4.457860946655273,20.40751075744629,444,194
132.49033,54.591603,3.6879643520013117,3.8437509536743164,20.422691345214844,446,634
138.0273,55.576678,2.873328225129134,3.198467969894409,20.719633102416992,450,590
144.23809,58.188603,2.275550508538986,2.544318914413452,20.361661911010742,452,558
37.906872,-7.4818069,5.291936060008651,5.41349983215332,21.18706703186035,454,610
39.847803,-8.1680917,3.5654574611830956,4.012235164642334,20.388668060302734,455,546
48.058248,-6.4496724,3.6417773025994205,4.048829078674316,20.355836868286133,459,460
50.608731,-5.9735394,3.7663321166671953,3.958333969116211,20.506053924560547,460,420
52.831949,-7.6953078,4.566526752113575,4.731863975524902,20.407299041748047,461,209
57.024685,-6.8174842,2.3195888759346466,2.40008807182312,20.412090301513672,463,261
133.25797,0.50708795,2.8903108155885358,2.9265079498291016,20.345718383789062,468,182
141.1861,-0.15669338,2.4449609278662647,2.863239049911499,20.841421127319336,474,178
189.90492,67.672443,4.206960709221184,4.411810874938965,20.632862091064453,494,542
211.9468,64.905535,2.9353584917344313,3.1013519763946533,20.3664608001709,498,144
169.59486,2.0434396,3.458454106802206,3.9478750228881836,20.434337615966797,511,264
203.0496,3.2656495,4.291567014575098,4.695921897888184,20.46698760986328,528,333
205.39249,1.6993795,4.371360493331837,4.681719779968262,20.436603546142578,529,204
206.80894,1.9837408,3.23627651951489,3.704792022705078,20.416746139526367,530,267
211.01933,3.2344433,4.576790123340995,4.869699954986572,20.54525375366211,532,328
115.43534,33.943635,3.4697609869975734,3.825145959854126,20.428394317626953,541,565
126.0944,44.585893,2.297496175995977,2.5555150508880615,20.733510971069336,548,195
142.49337,4.0091036,2.764300631637972,3.1584858894348145,20.691858291625977,569,343
165.39317,5.526053,4.725116131555347,4.986499786376953,20.36465072631836,580,535
227.67415,3.3029395,3.5844189661974557,4.257052898406982,20.480022430419922,590,227
229.24436,3.4804679,2.473635948127833,2.8519480228424072,20.58432388305664,591,180
189.17279,65.911704,3.089632661209402,3.392190933227539,20.330053329467773,600,579
208.2552,63.548731,2.6406950271259997,3.156959056854248,20.37564468383789,604,594
224.26233,60.009583,2.8599732997971525,2.9463109970092773,20.351755142211914,610,406
223.45993,61.019191,3.574928390086064,4.134757041931152,20.464218139648438,611,307
235.9977,53.984212,2.251504059652108,2.3793070316314697,23.51723289489746,616,97
246.84521,44.692776,2.2017270160852966,2.3189399242401123,20.3618221282959,626,455
253.47758,40.900611,4.629687661285857,4.948681831359863,20.545055389404297,631,127
355.3705,-9.2695995,3.6045193308637247,4.138394832611084,20.54391860961914,648,375
10.22772,-9.2574555,4.532027120886097,4.97599983215332,20.450761795043945,655,482
26.538881,-9.4883917,3.676105496138004,4.153954982757568,20.421886444091797,664,161
