plate,fiber,ra,dec,z_qso,spectrum,rest_frame,dla_z,column_density,std_column_density,dla_confidence
385,454,355.816190,0.783233,2.774458,3866.339621,1024.343016,2.180419,20.749302,0.059449,1.000000
385,492,355.446960,0.264428,3.963077,4731.512590,953.342558,2.892103,20.717500,0.113693,0.712500
385,492,355.446960,0.264428,3.963077,4988.844875,1005.191901,3.103782,20.810061,0.175498,0.225000
385,492,355.446960,0.264428,3.963077,5290.539972,1065.979814,3.351954,20.628645,0.045057,1.000000
385,492,355.446960,0.264428,3.963077,5588.561056,1126.027458,3.597104,20.861062,0.135795,0.500000
385,492,355.446960,0.264428,3.963077,5891.148903,1186.995250,3.846010,20.692313,0.199710,0.550000
386,137,357.741130,-0.869438,3.032216,4165.815197,1033.132928,2.426765,20.515796,0.052276,1.000000
386,137,357.741130,-0.869438,3.032216,4390.358656,1088.820286,2.611472,21.006448,0.068205,1.000000
387,315,359.120700,-0.600522,2.947545,4000.368510,1013.381344,2.290670,20.715379,0.115084,0.675000
387,315,359.120700,-0.600522,2.947545,4042.034351,1023.936218,2.324944,20.696018,0.140609,0.487500
387,315,359.120700,-0.600522,2.947545,4802.860802,1216.670295,2.950793,20.492555,0.067687,1.000000
389,465,3.759409,0.203494,2.850108,3896.727173,1012.108561,2.205415,20.817268,0.101465,1.000000
397,333,17.241767,0.854067,2.971800,4563.520439,1148.980396,2.753914,20.432589,0.077780,1.000000
397,333,17.241767,0.854067,2.971800,4741.327996,1193.747895,2.900177,20.843411,0.044581,1.000000
400,193,23.466653,-0.286404,3.618012,5692.460163,1232.664667,3.682570,20.325005,0.107888,1.000000
401,500,25.561419,0.390104,3.373789,5284.452518,1208.209274,3.346947,20.512299,0.134278,1.000000
405,263,32.679825,-0.305082,4.701173,5702.955726,1000.312725,3.691204,20.386959,0.114718,1.000000
405,263,32.679825,-0.305082,4.701173,6776.415076,1188.600185,4.574223,20.358617,0.077597,1.000000
408,134,39.764319,-0.647455,3.080975,4886.523593,1197.391194,3.019614,20.388517,0.108612,1.000000
410,466,43.827419,0.813228,4.000985,5173.685201,1034.533207,3.255830,20.590588,0.058858,1.000000
410,466,43.827419,0.813228,4.000985,5973.102948,1194.385261,3.913425,20.956378,0.067378,1.000000
414,21,52.623970,-0.988381,2.745716,4625.940048,1234.994840,2.805260,20.486291,0.082738,1.000000
415,621,54.622133,0.365625,5.011208,5688.529308,946.320482,3.679337,20.529608,0.095414,0.237500
415,621,54.622133,0.365625,5.011208,6468.446642,1076.064342,4.320890,20.622912,0.136642,0.462500
415,621,54.622133,0.365625,5.011208,6974.289969,1160.214370,4.736993,20.797043,0.128655,0.400000
416,228,54.728217,-0.089140,3.066208,3927.353556,965.851640,2.230608,20.951629,0.067678,1.000000
417,492,7.861674,15.127670,4.297468,5303.957067,1001.224902,3.362991,20.886173,0.050481,1.000000
418,452,9.454970,15.869013,4.061925,5847.900841,1155.272138,3.810434,21.556532,0.078454,0.637500
420,121,13.330029,13.785796,2.927907,4403.520272,1121.085678,2.622299,20.591252,0.071050,1.000000
420,333,12.543957,15.652691,2.953833,4025.316190,1018.079440,2.311192,21.263289,0.042461,1.000000
424,213,20.627609,13.577190,3.011392,4069.115338,1014.389823,2.347220,20.494666,0.075516,1.000000
424,630,22.275092,14.985338,3.849613,5152.286446,1062.411887,3.238228,20.814075,0.070699,1.000000
428,139,32.871521,12.686338,2.962638,4368.174709,1102.340112,2.593224,20.462754,0.047667,1.000000
429,200,26.528279,13.757971,3.182877,4165.815197,995.921021,2.426765,21.189352,0.295423,0.350000
429,200,26.528279,13.757971,3.182877,4215.023497,1007.685245,2.467243,20.931407,0.263204,0.225000
429,200,26.528279,13.757971,3.182877,5032.687916,1203.164195,3.139847,20.538198,0.042521,1.000000
430,549,28.810159,14.211506,3.845750,5661.089226,1168.258601,3.656765,20.585832,0.068448,1.000000
431,217,112.945860,36.729574,4.039456,5579.560615,1107.175206,3.589700,20.737572,0.072298,1.000000
433,97,116.458120,37.540350,3.010673,3976.490965,991.477221,2.271028,20.756753,0.097413,1.000000
434,537,118.111700,43.334484,3.752451,4400.479478,925.938959,2.619798,20.365593,0.141720,0.425000
434,537,118.111700,43.334484,3.752451,4861.832585,1023.015838,2.999303,20.601725,0.063947,1.000000
435,504,119.075570,41.069051,5.100300,5663.696855,928.429259,3.658910,20.480573,0.164508,0.312500
435,504,119.075570,41.069051,5.100300,5959.365193,976.897096,3.902124,20.392285,0.096271,0.725000
435,504,119.075570,41.069051,5.100300,6691.138200,1096.853988,4.504074,20.368847,0.098100,0.312500
435,504,119.075570,41.069051,5.100300,7289.537929,1194.947482,4.996313,20.393347,0.106467,0.337500
435,510,118.940050,40.945450,2.348935,4013.284983,1198.376533,2.301295,20.484559,0.032053,1.000000
437,532,120.901560,43.465943,2.894489,4159.106105,1067.946540,2.421246,20.576170,0.060662,1.000000
437,532,120.901560,43.465943,2.894489,4583.529174,1176.926964,2.770373,20.453677,0.031497,1.000000
438,397,120.407000,47.424503,3.268049,5134.521775,1203.013783,3.223615,20.448483,0.098273,1.000000
438,414,121.523170,47.998645,3.463847,4606.806808,1032.026162,2.789521,20.618414,0.069271,1.000000
439,104,123.171340,44.358060,4.346493,5393.864099,1008.860263,3.436948,20.416155,0.068250,1.000000
440,52,124.079150,48.391248,3.574875,4508.167045,985.418603,2.708381,20.703275,0.050192,1.000000
440,52,124.079150,48.391248,3.574875,5391.380705,1178.476039,3.434905,20.632082,0.033084,1.000000
441,285,122.861640,46.750730,3.142442,4538.371048,1095.578661,2.733226,20.590776,0.107043,0.862500
442,302,123.646600,50.496257,3.895992,5725.323094,1169.389788,3.709603,21.091411,0.063480,1.000000
442,508,126.003720,51.364672,2.981760,4624.875008,1161.515254,2.804384,20.644124,0.051697,1.000000
442,528,126.660800,51.875910,2.830123,4660.151117,1216.710581,2.833401,20.569109,0.172398,1.000000
442,550,126.396630,51.451778,3.507203,5248.074602,1164.374998,3.317022,20.834968,0.070891,1.000000
444,194,127.762520,52.592677,4.457861,5022.269342,920.190051,3.131277,20.678148,0.128302,0.550000
444,194,127.762520,52.592677,4.457861,5919.704116,1084.619812,3.869499,20.611404,0.046321,1.000000
444,194,127.762520,52.592677,4.457861,6296.511487,1153.659199,4.179458,20.452896,0.070176,1.000000
444,497,128.051550,53.057617,4.041959,5519.503334,1094.714087,3.540297,20.350123,0.045243,1.000000
445,638,131.467840,50.756792,2.886725,4582.473899,1179.006480,2.769505,20.810368,0.071109,1.000000
446,477,129.979220,54.549002,2.767247,3861.001764,1024.886821,2.176028,20.601901,0.171573,0.350000
446,634,132.490330,54.591603,3.843751,4773.094139,985.412790,2.926307,20.332167,0.188229,0.800000
446,634,132.490330,54.591603,3.843751,5046.612976,1041.881183,3.151302,20.577438,0.052120,1.000000
446,634,132.490330,54.591603,3.843751,5700.330022,1176.842095,3.689044,20.482013,0.196370,0.875000
447,272,131.030410,51.886400,3.203888,4590.922908,1092.065957,2.776455,21.341480,0.055693,0.462500
449,623,135.755200,53.887691,2.442700,3998.526697,1161.450839,2.289155,21.335323,0.067333,1.000000
450,41,137.537740,53.898740,3.015409,4731.512590,1178.338894,2.892103,20.370624,0.079598,1.000000
450,590,138.027300,55.576678,3.198468,4708.688923,1121.525508,2.873328,20.693147,0.047497,1.000000
451,130,139.980940,55.201587,2.511946,4116.233473,1172.066289,2.385979,20.381341,0.102845,1.000000
451,312,138.095930,56.357935,2.981024,4724.980277,1186.875599,2.886729,20.611240,0.043959,1.000000
452,63,145.340290,57.383069,3.195514,4624.875008,1102.338128,2.804384,20.599900,0.066304,1.000000
452,607,145.233400,58.808386,4.659259,5790.285795,1023.152670,3.763041,20.712687,0.088922,1.000000
454,610,37.906872,-7.481807,5.413500,6163.111147,960.959119,4.069724,20.432993,0.153220,0.262500
454,610,37.906872,-7.481807,5.413500,6406.192726,998.860668,4.269681,20.507452,0.149872,0.362500
454,610,37.906872,-7.481807,5.413500,6913.532360,1077.965626,4.687014,20.370418,0.120622,0.525000
454,610,37.906872,-7.481807,5.413500,7154.841214,1115.590770,4.885513,20.484698,0.122702,1.000000
454,610,37.906872,-7.481807,5.413500,7333.309253,1143.417704,5.032319,20.833286,0.121544,0.675000
454,610,37.906872,-7.481807,5.413500,7685.993273,1198.408587,5.322434,20.957200,0.074842,0.612500
455,429,38.537412,-7.852122,2.548324,4032.737930,1136.519046,2.317297,20.899994,0.051604,1.000000
457,100,44.196097,-8.844821,4.238711,5249.283155,1002.018106,3.318017,20.525020,0.081396,0.737500
457,330,42.663221,-6.901418,4.472509,5548.811864,1013.942957,3.564406,20.402127,0.222035,0.212500
457,330,42.663221,-6.901418,4.472509,6453.569627,1179.270740,4.308653,20.301933,0.192529,0.337500
457,453,43.801210,-7.185521,2.824941,4391.369690,1148.088240,2.612304,20.426844,0.083225,1.000000
460,420,50.608731,-5.973539,3.958334,5297.854174,1068.474654,3.357971,20.305853,0.083751,1.000000
460,420,50.608731,-5.973539,3.958334,5792.952934,1168.326492,3.765235,20.477749,0.060808,1.000000
461,209,52.831949,-7.695308,4.731864,5323.533606,928.761329,3.379094,20.404078,0.160886,0.412500
461,209,52.831949,-7.695308,4.731864,6306.668448,1100.282295,4.187813,20.399955,0.071377,1.000000
461,314,51.919473,-6.863161,3.023866,3850.348147,956.877840,2.167264,20.435027,0.103016,0.500000
463,261,57.024685,-6.817484,2.400088,4034.595502,1186.614998,2.318825,20.306408,0.089450,1.000000
464,451,59.345620,-5.476970,2.290468,3823.842537,1162.096870,2.145461,20.455013,0.121295,1.000000
467,212,131.387700,-0.155495,3.236730,4012.360996,947.041917,2.300535,21.230380,0.149359,0.475000
469,90,134.902990,-0.316003,3.188537,4293.386635,1025.032548,2.531704,20.327285,0.046635,1.000000
469,267,133.625750,0.703791,4.086784,5693.771051,1119.326313,3.683649,20.690782,0.052567,1.000000
469,584,135.678950,1.756998,3.691560,4317.178445,920.201046,2.551275,20.690916,0.143767,0.325000
469,584,135.678950,1.756998,3.691560,5380.219572,1146.786898,3.425724,20.803714,0.159441,1.000000
470,185,135.675320,-0.357192,4.420544,5550.089672,1023.898989,3.565457,20.473314,0.133435,1.000000
472,576,139.156500,0.792777,3.732863,5189.195108,1096.417784,3.268589,20.636280,0.051943,1.000000
473,447,140.060310,2.467728,2.933123,4073.802778,1035.767929,2.351076,20.611764,0.040719,1.000000
474,162,141.285450,-0.516775,2.784820,4120.026411,1088.565988,2.389099,20.458138,0.066113,1.000000
474,162,141.285450,-0.516775,2.784820,4412.655266,1165.882439,2.629813,20.602804,0.056255,1.000000
474,178,141.186100,-0.156693,2.863239,3942.756896,1020.583206,2.243279,20.576403,0.200814,0.362500
474,178,141.186100,-0.156693,2.863239,4185.043727,1083.299188,2.442582,20.728433,0.097521,1.000000
474,348,140.219530,0.193642,2.397563,3873.468246,1140.072537,2.186283,20.471813,0.046186,1.000000
474,632,142.445130,0.032840,3.063270,3826.484866,941.725452,2.147635,20.556454,0.084704,0.575000
