RA,DEC,zabs,zem,NHI,plate,fiber
21.949166666666663,14.095333333333334,2.44161,2.4876999855041504,20.3,425,278
183.16004166666661,67.989,2.22131,2.569999933242798,20.4,493,507
187.88283333333334,-1.8973888888888888,3.67024,3.9000000953674316,20.3,334,629
192.88220833333332,66.27416666666666,2.77727,3.0199999809265137,20.45,495,216
194.49675,-1.1917222222222221,4.02151,4.11359977722168,20.3,293,127
17.241749999999996,0.8540555555555556,2.75699,2.9521000385284424,20.6,397,333
123.38883333333331,35.13633333333333,4.30337,4.922999858856201,20.35,826,305
171.7025833333333,5.941138888888889,3.14621,3.188199996948242,20.8,836,603
181.41475,1.7323611111111112,3.28551,3.8559999465942383,20.7,517,259
189.90487499999998,67.67244444444445,4.25451,4.400300025939941,20.3,494,542
210.6832083333333,59.16636111111111,3.77888,4.135000228881836,21.75,787,48
221.57229166666667,-1.0253055555555555,3.70976,4.1305999755859375,20.3,920,446
148.79716666666664,59.67519444444444,3.84601,4.335999965667725,20.5,770,291
151.72091666666662,51.35041666666667,2.3458,2.6649999618530273,20.3,1007,330
161.256,50.67941666666666,3.94924,3.9995999336242676,20.35,876,346
164.16787499999998,7.9413888888888895,3.4605,3.619999885559082,20.35,1002,409
208.39479166666663,-3.172833333333333,2.56,2.9739999771118164,20.35,914,212
232.8745833333333,45.285444444444444,4.08542,4.183000087738037,20.3,1332,242
246.61041666666665,27.859,5.0756,5.184700012207031,20.95,1408,460
253.47754166666664,40.90058333333333,4.57422,4.9770002365112305,20.35,631,127
337.93412499999994,14.352027777777778,2.75737,2.8427999019622803,20.3,738,405
117.97958333333332,45.27211111111111,2.92912,3.3399999141693115,20.35,1737,10
157.6485833333333,44.84261111111111,2.72827,2.8536999225616455,20.8,1431,358
157.6485833333333,44.84261111111111,2.7493,2.8536999225616455,21.25,1431,358
159.35595833333332,39.353388888888894,3.12128,3.2950000762939453,20.3,1432,196
162.10845833333332,39.18622222222222,2.29674,2.7950000762939453,20.55,1433,54
181.63824999999997,44.84447222222222,2.58369,3.0920000076293945,20.5,1370,335
201.47549999999995,12.929583333333333,3.54972,4.139999866485596,20.4,1698,612
218.15074999999996,23.820666666666668,2.8115,2.944999933242798,20.4,2136,438
253.65354166666663,22.45936111111111,4.10046,4.677999973297119,20.35,1415,423
