RA,DEC,zabs,zem,NHI,plate,fiber
183.16004166666661,67.989,2.22131,2.569999933242798,20.4,493,507
187.88283333333334,-1.8973888888888888,3.67024,3.9000000953674316,20.3,334,629
207.04675,64.23005555555555,3.555,3.8399999141693115,21.5,604,535
249.80358333333328,44.13708333333333,3.64177,3.7592999935150146,20.5,629,279
123.38883333333331,35.13633333333333,4.30337,4.922999858856201,20.35,826,305
125.053125,34.72383333333334,2.91448,3.492000102996826,20.35,826,45
125.49824999999998,40.376777777777775,3.61256,3.7750000953674316,20.45,760,41
168.10074999999995,0.7750833333333333,3.79416,4.0391998291015625,20.45,278,584
171.7025833333333,5.941138888888889,3.14621,3.188199996948242,20.8,836,603
181.17379166666663,-0.36374999999999996,4.67434,5.0320000648498535,20.7,286,183
181.41475,1.7323611111111112,3.28551,3.8559999465942383,20.7,517,259
183.91199999999998,62.312305555555554,3.74452,3.953000068664551,21.25,778,38
189.90487499999998,67.67244444444445,4.25451,4.400300025939941,20.3,494,542
195.534,-3.6195833333333334,3.46675,3.7179999351501465,20.95,339,219
196.25949999999997,5.364194444444444,3.64146,4.085999965667725,20.3,849,584
210.6832083333333,59.16636111111111,3.77888,4.135000228881836,21.75,787,48
229.56904166666666,53.65208333333333,2.89479,3.081399917602539,20.6,794,402
148.79716666666664,59.67519444444444,3.84601,4.335999965667725,20.5,770,291
161.256,50.67941666666666,3.94924,3.9995999336242676,20.35,876,346
173.99975,0.4063055555555556,3.6845,4.057000160217285,20.5,282,503
178.34033333333332,10.186916666666667,3.7957,4.126999855041504,21.5,1226,638
219.63454166666662,48.30430555555555,3.5559,3.828000068664551,20.35,1047,253
221.08662499999997,38.00013888888889,3.76304,4.302999973297119,20.55,1350,201
227.21641666666662,51.94102777777778,3.5868,3.7990000247955322,20.9,1165,426
229.31612499999997,52.15925,3.5048,3.799999952316284,21.45,1165,582
246.61041666666665,27.859,5.0756,5.184700012207031,20.95,1408,460
253.47754166666664,40.90058333333333,4.57422,4.9770002365112305,20.35,631,127
116.80520833333331,17.996722222222225,3.57387,3.746999979019165,20.45,1920,273
128.62266666666665,21.673527777777778,3.7107,4.497200012207031,20.65,1929,44
138.6912083333333,30.293972222222223,3.80376,4.269999980926514,21.05,1936,618
157.6485833333333,44.84261111111111,2.72827,2.8536999225616455,20.8,1431,358
159.35595833333332,39.353388888888894,3.12128,3.2950000762939453,20.3,1432,196
167.23112499999996,12.164805555555557,3.39258,3.674499988555908,20.45,1604,383
177.50991666666664,39.67819444444444,2.8375,3.1338999271392822,20.5,1970,98
180.99612499999998,34.18727777777777,3.67431,3.7483999729156494,20.6,2099,635
180.99612499999998,34.18727777777777,3.6868,3.7483999729156494,20.6,2099,635
189.2772083333333,36.254694444444446,3.6714,4.105999946594238,20.4,2010,536
195.7483333333333,43.584583333333335,3.34618,3.9093000888824463,20.35,1374,217
201.47549999999995,12.929583333333333,3.54972,4.139999866485596,20.4,1698,612
207.41574999999995,12.708527777777777,3.49204,4.184999942779541,20.4,1701,569
207.41574999999995,12.708527777777777,3.74435,4.184999942779541,20.3,1701,569
218.15074999999996,23.820666666666668,2.8115,2.944999933242798,20.4,2136,438
236.99491666666665,36.45147222222222,3.6473,3.880000114440918,20.8,1416,515
241.71774999999997,7.3526388888888885,2.3976,2.4791998863220215,21.55,1730,308
253.65354166666663,22.45936111111111,4.00655,4.677999973297119,20.35,1415,423
253.65354166666663,22.45936111111111,4.10046,4.677999973297119,20.35,1415,423
