RA,DEC,zabs,zem,NHI,plate,fiber
183.16004166666661,67.989,2.22131,2.569999933242798,20.4,493,507
187.88283333333334,-1.8973888888888888,3.67024,3.9000000953674316,20.3,334,629
249.80358333333328,44.13708333333333,3.64177,3.7592999935150146,20.5,629,279
114.32566666666666,32.60875,2.8924,3.0174999237060547,20.3,541,151
123.38883333333331,35.13633333333333,4.30337,4.922999858856201,20.35,826,305
125.053125,34.72383333333334,2.91448,3.492000102996826,20.35,826,45
125.49824999999998,40.376777777777775,3.61256,3.7750000953674316,20.45,760,41
135.13954166666664,42.263,3.24589,3.2953999042510986,20.3,831,201
147.55854166666666,58.026805555555555,3.26583,3.9590001106262207,20.8,557,418
168.10074999999995,0.7750833333333333,3.79416,4.0391998291015625,20.45,278,584
171.7025833333333,5.941138888888889,3.14621,3.188199996948242,20.8,836,603
181.17379166666663,-0.36374999999999996,4.67434,5.0320000648498535,20.7,286,183
181.41475,1.7323611111111112,3.28551,3.8559999465942383,20.7,517,259
189.90487499999998,67.67244444444445,4.25451,4.400300025939941,20.3,494,542
196.25949999999997,5.364194444444444,3.64146,4.085999965667725,20.3,849,584
210.6832083333333,59.16636111111111,3.77888,4.135000228881836,21.75,787,48
229.56904166666666,53.65208333333333,2.89479,3.081399917602539,20.6,794,402
236.19304166666663,41.343250000000005,3.06164,3.5480000972747803,20.9,1053,188
336.2882916666666,-0.23522222222222222,4.21893,4.886000156402588,20.55,375,111
339.5823333333333,-9.351666666666667,2.86906,3.259000062942505,20.65,722,190
128.45829166666667,4.533333333333333,3.30214,3.562000036239624,20.45,1186,172
148.79716666666664,59.67519444444444,3.84601,4.335999965667725,20.5,770,291
153.40137499999997,42.67402777777777,4.79966,5.038000106811523,20.4,1218,178
155.7542083333333,7.155055555555556,3.37809,3.7950000762939453,20.45,998,407
161.256,50.67941666666666,3.94924,3.9995999336242676,20.35,876,346
173.99975,0.4063055555555556,3.6845,4.057000160217285,20.5,282,503
175.51299999999998,9.066749999999999,3.2061,3.6730000972747803,21.4,1225,214
178.34033333333332,10.186916666666667,3.4688,4.126999855041504,20.55,1226,638
178.34033333333332,10.186916666666667,3.7957,4.126999855041504,21.5,1226,638
197.91774999999998,56.071361111111116,3.2457,3.6760001182556152,20.8,1319,163
201.8739583333333,48.75025,2.60815,3.140000104904175,20.35,1282,70
202.72066666666666,52.92041666666666,2.22958,2.5199999809265137,20.55,1041,46
208.39479166666663,-3.172833333333333,2.56,2.9739999771118164,20.35,914,212
211.9140833333333,60.51005555555555,4.66257,4.794000148773193,20.3,788,362
