PLATE,FIB,RA,DEC
1913,500,6.0575,-9.3699
1492,74,6.0703,-0.3471
688,512,6.0734,0.1462
688,452,6.0919,0.7696
653,441,6.0930,-9.0924
1087,385,6.1708,0.7660
653,178,6.1949,-10.2864
688,59,6.2191,-0.7489
1087,261,6.2207,-0.6167
688,105,6.2903,-0.6753
1913,93,6.4359,-10.8604
1913,91,6.4456,-10.8151
390,26,6.5378,-0.6304
753,69,6.5612,14.5181
753,550,6.5649,15.4537
753,17,6.5778,14.1630
1088,637,6.5957,-0.0284
753,600,6.6137,15.4129
753,591,6.6512,15.2131
653,556,6.7919,-9.7432
1493,474,6.8743,0.0969
653,597,6.9385,-9.7676
753,629,6.9409,15.3787
689,272,6.9947,-0.3233
654,298,7.0049,-10.8261
1087,457,7.0206,1.1780
417,353,7.0616,15.1014
689,251,7.0685,-0.8851
417,324,7.0849,15.5663
689,363,7.1043,1.1012
1913,13,7.1383,-10.7389
1087,533,7.1907,1.1134
689,464,7.3033,0.5175
1493,510,7.3038,0.3296
654,325,7.3092,-9.0045
1493,555,7.3311,0.1369
689,245,7.3532,-0.9874
1087,578,7.3683,0.8492
689,370,7.3824,1.1124
391,509,7.4056,0.2369
1493,582,7.4387,0.6107
653,623,7.4432,-9.5947
689,416,7.4546,0.7617
653,636,7.4562,-9.8624
1494,349,7.4621,0.0215
689,187,7.4790,-0.1815
653,633,7.5116,-10.0093
689,179,7.5452,-0.5727
689,420,7.5490,0.7972
689,498,7.5510,0.7263
689,403,7.5625,1.2246
1493,573,7.5713,0.8997
391,102,7.5826,-0.4341
1494,358,7.6921,0.0206
417,133,7.7595,14.0335
689,134,7.7861,-0.6516
417,127,7.7892,13.9102
654,441,7.8040,-8.9832
689,516,7.8043,0.1723
2327,305,7.8433,6.8607
417,492,7.8617,15.1277
417,495,7.8706,15.1133
1494,277,7.8943,-0.2958
689,502,7.8982,0.5726
689,504,7.9091,0.5592
417,176,7.9443,14.9221
2327,292,7.9614,6.4836
654,186,7.9616,-10.6089
689,529,7.9706,1.1956
654,445,8.0137,-8.7348
1494,291,8.0231,-0.7360
418,360,8.0418,15.2634
2327,386,8.0423,7.8565
689,90,8.0855,-0.7407
654,469,8.0875,-9.4568
689,552,8.1096,0.2833
1087,29,8.1320,-0.4612
1087,623,8.1852,0.2607
654,81,8.2088,-10.8993
689,63,8.2375,-0.4365
417,507,8.2489,15.3481
689,541,8.2700,0.7273
2327,290,8.2911,6.3703
2848,564,8.2973,-17.1782
1493,624,8.3034,0.5764
417,577,8.3347,15.6903
2327,369,8.3482,8.4211
418,336,8.3771,15.8313
690,306,8.3884,-0.0687
689,1,8.4496,-1.2068
689,616,8.4945,0.8154
2327,203,8.5376,6.7156
418,277,8.5777,14.8508
1086,210,8.5859,-1.1548
418,367,8.5906,15.8655
2327,402,8.5960,8.3676
690,353,8.6093,0.4339
654,106,8.6227,-10.6075
690,350,8.6599,0.2381
690,270,8.6603,-0.4871
690,352,8.7201,0.2311
418,433,8.7328,15.1936
689,25,8.7527,-0.4181
654,545,8.7579,-9.3049
392,440,8.7657,0.2782
654,107,8.7734,-10.5934
1086,449,8.8038,1.0752
1086,481,8.8248,0.7260
689,633,8.8401,0.3281
1494,454,8.8554,0.6675
2327,488,8.8629,7.8422
654,587,8.8839,-9.2138
690,272,8.8927,-0.5398
690,382,8.9272,0.3667
392,464,8.9411,0.3850
418,418,8.9433,16.0629
690,242,8.9522,-1.2129
1494,143,8.9757,-0.2314
689,637,9.0150,0.0732
690,227,9.0152,-0.4259
690,258,9.0785,-0.7750
690,365,9.1279,1.0891
690,367,9.1403,0.8391
654,29,9.1414,-10.2080
1086,524,9.1550,1.0540
1086,521,9.1681,1.2471
2327,452,9.1810,8.6623
418,191,9.1854,14.5964
2058,320,9.2148,24.7363
1086,153,9.2152,-0.1659
690,259,9.2183,-0.8159
2327,443,9.2244,8.6601
1494,503,9.2589,0.5583
418,458,9.3146,15.8076
418,182,9.3859,14.7161
418,216,9.4047,14.3232
418,441,9.4252,15.8273
2327,90,9.4467,6.2589
418,138,9.4490,14.1018
418,452,9.4550,15.8690
690,462,9.4588,0.1152
2058,287,9.4929,24.1200
2058,321,9.5409,25.7930
418,131,9.5664,14.0513
2327,551,9.6096,7.7219
1494,45,9.6204,-1.0378
418,483,9.6345,15.4210
655,270,9.6592,-10.2662
690,131,9.7473,-0.7145
2058,425,9.7686,25.5700
2327,565,9.7869,8.6621
392,6,9.8078,-0.9858
2058,379,9.8089,26.1591
690,524,9.8435,0.9977
393,315,9.8449,-0.7361
690,153,9.8466,-0.2480
690,510,9.8523,0.4171
1905,388,9.8763,0.2984
419,349,9.9165,15.4557
2058,225,9.9338,24.2832
1897,343,9.9383,14.9868
2058,364,9.9456,26.0088
2327,620,9.9689,8.1795
1134,569,10.0145,0.5839
655,131,10.0317,-10.6072
2058,182,10.0399,24.6088
1897,303,10.0467,14.5740
690,569,10.0759,0.9253
393,338,10.0778,0.9239
690,563,10.0933,0.9943
2327,11,10.1493,6.5774
393,298,10.1725,-0.9270
1905,294,10.1735,-1.0433
2327,634,10.1990,7.5529
690,41,10.2202,-1.1236
655,482,10.2277,-9.2574
419,345,10.2749,15.0868
419,298,10.3027,14.0928
418,560,10.3088,15.0710
690,80,10.3168,0.0036
1495,432,10.3345,0.4364
1495,250,10.3383,-1.2057
2327,635,10.3507,7.7817
2058,169,10.3742,24.2839
655,562,10.4272,-8.9513
393,250,10.4298,-0.9820
1905,424,10.4456,0.3464
690,593,10.4690,0.5014
690,64,10.4765,-0.4989
691,381,10.4804,0.6839
655,51,10.5218,-10.6660
2058,127,10.5348,23.7251
418,39,10.5626,14.9321
691,267,10.5647,-0.5821
690,590,10.5780,0.5436
656,269,10.5823,-10.3360
1905,468,10.6041,0.4177
418,12,10.6694,14.2582
393,423,10.6748,0.3706
2058,531,10.7042,25.8939
690,599,10.7264,0.0827
2058,146,10.7723,24.4386
419,418,10.8217,15.7981
393,181,10.8476,-0.2646
656,470,10.8780,-9.5047
655,635,10.9564,-9.6289
2058,505,10.9709,25.6034
1495,508,10.9858,0.1308
1905,448,10.9880,1.2383
655,632,11.0000,-9.5333
655,625,11.0444,-9.4353
691,423,11.0593,0.5469
691,260,11.0659,-0.7175
419,484,11.0732,15.5492
691,440,11.0838,0.1789
691,437,11.1020,0.4925
1495,93,11.1502,-0.7360
656,183,11.1820,-9.7734
691,431,11.1836,0.2177
1085,531,11.2015,1.0607
1495,117,11.2198,-0.1406
419,121,11.2320,13.8087
1085,528,11.2352,1.1826
1496,302,11.3089,-0.3387
1495,54,11.3192,-0.8138
419,149,11.3193,14.3032
1905,155,11.3608,-0.3177
1905,514,11.3652,0.2362
691,475,11.3716,0.0987
691,471,11.4095,0.5046
1897,507,11.4441,15.3650
1897,133,11.4509,14.0844
691,449,11.4722,1.1575
691,168,11.4737,-0.0489
691,175,11.4890,-0.0863
691,500,11.4942,0.4235
1905,559,11.5137,0.1249
393,558,11.5562,0.3995
393,572,11.5564,1.0738
2058,6,11.5881,24.1823
394,353,11.6661,0.1256
1905,116,11.6763,-0.1316
2058,10,11.6898,24.1050
1085,605,11.6938,1.2163
1905,112,11.6997,-0.1048
1085,70,11.7136,-0.6864
419,110,11.7214,14.4870
419,79,11.7951,14.9543
393,62,11.8162,-0.6122
691,106,11.8181,-0.5973
393,589,11.8188,0.3879
1905,563,11.8614,0.9299
393,588,11.8864,0.3532
691,575,11.8955,1.2378
1897,74,11.9912,14.7958
394,329,12.0252,0.7732
394,288,12.0252,-1.0560
656,110,12.0596,-10.1834
2058,634,12.0932,24.8947
692,356,12.1346,0.1839
420,342,12.1770,15.4029
691,569,12.2068,1.0954
393,29,12.2184,-0.4086
394,336,12.2348,0.9467
656,570,12.2429,-8.7029
691,63,12.2748,-0.5262
656,79,12.3360,-9.8423
419,639,12.3683,15.4831
420,393,12.3714,15.2871
692,351,12.4017,0.0812
691,31,12.4130,-0.1165
656,591,12.4624,-9.5099
656,74,12.4751,-10.1040
1496,191,12.5004,-0.5355
657,382,12.5075,-9.4817
394,247,12.5265,-0.8887
420,261,12.5430,14.4965
420,333,12.5439,15.6527
1496,192,12.5466,-0.3867
394,264,12.5574,-0.4129
691,13,12.5785,-0.9106
1084,177,12.5801,0.0139
394,403,12.5884,0.8597
1897,36,12.5902,14.6242
691,8,12.6047,-0.9551
420,255,12.6330,14.1926
420,229,12.6733,14.6322
657,383,12.6796,-9.7208
657,323,12.7645,-9.0100
691,628,12.7894,0.2768
1084,481,12.8070,0.6331
657,369,12.8070,-8.9352
1496,131,12.8348,-0.7139
691,22,12.8724,-0.6124
691,637,12.8799,0.0929
692,239,12.9097,-0.8034
394,533,13.0100,1.0248
657,242,13.0253,-11.1439
420,432,13.0566,15.3472
1084,516,13.0652,0.5224
692,228,13.0805,-0.3876
394,531,13.1060,0.7142
657,244,13.1230,-11.0528
692,182,13.1674,-0.5589
692,416,13.2141,0.8069
1496,99,13.2149,-1.0953
420,121,13.3300,13.7858
692,189,13.3922,-0.6755
1496,45,13.4088,-1.1415
1084,68,13.4238,-0.3926
1084,594,13.4290,0.3492
692,453,13.4437,0.8955
692,168,13.4527,-0.3659
692,496,13.5062,0.4799
692,452,13.5124,0.9608
420,563,13.5279,16.0089
657,515,13.5353,-9.7773
692,169,13.5762,-0.7606
394,511,13.5833,0.4578
1496,7,13.5893,-1.1560
692,539,13.6515,0.8488
