PLATE,FIB,RA,DEC
1295,69,123.8380,5.7934
1206,111,123.8403,27.2191
825,607,123.8453,34.5131
1872,214,123.8577,55.7623
826,295,123.8672,34.7936
1757,132,123.8859,7.0565
862,346,123.8897,33.3440
862,301,123.8923,33.0914
1872,168,123.8928,56.0901
1206,493,123.8935,27.8152
1585,395,123.8954,24.7307
1926,239,123.9059,22.5928
892,623,123.9093,36.3892
1781,158,123.9210,52.5261
1757,223,123.9216,7.4198
893,206,123.9299,37.0103
1926,294,123.9314,22.2948
2271,310,123.9324,17.3836
1873,289,123.9387,57.5229
1872,133,123.9472,55.8650
2571,345,123.9584,10.0429
2271,303,123.9634,17.1809
1206,117,123.9699,27.1719
2082,416,123.9762,19.6499
546,526,123.9826,43.3874
2270,541,123.9932,15.6820
2421,553,124.0085,10.1435
1184,60,124.0216,3.3757
1924,25,124.0345,21.0370
2420,74,124.0450,11.8344
2420,2,124.0523,11.1408
2077,164,124.0765,-0.3937
440,52,124.0792,48.3912
441,328,124.0889,47.0500
1295,614,124.0889,6.2727
826,223,124.1085,35.1820
1266,135,124.1114,25.5470
2422,316,124.1129,12.9627
2571,211,124.1200,8.7819
1925,505,124.1254,20.4754
1757,94,124.1331,7.1048
931,354,124.1384,30.9128
2270,478,124.1433,14.7701
861,565,124.1533,32.5228
441,229,124.1735,45.6911
1266,390,124.1814,26.7762
931,256,124.1822,30.2707
931,271,124.1877,30.3651
759,19,124.2042,39.2067
1295,30,124.2224,5.6962
2422,308,124.2295,12.4415
441,393,124.2304,47.9366
441,231,124.2312,45.9427
1295,640,124.2398,6.0783
759,1,124.2580,38.9934
440,551,124.2580,49.4503
1585,428,124.2595,24.7336
2674,377,124.2634,38.9668
1585,53,124.2640,23.7778
1585,464,124.2684,24.7076
1926,342,124.2794,23.0737
893,372,124.2870,38.5100
1295,22,124.3127,5.6525
1206,575,124.3152,28.3851
893,126,124.3215,37.0478
1149,20,124.3514,-1.1371
2571,408,124.3541,9.3431
2269,586,124.3665,17.7776
862,270,124.3815,32.9472
893,161,124.3998,37.4830
2422,314,124.4169,12.4812
2270,75,124.4189,13.8596
1207,300,124.4325,28.8614
1873,197,124.4463,58.1684
2082,150,124.4503,18.9326
2674,176,124.4602,37.4945
439,623,124.4670,45.1246
2423,360,124.4671,10.8916
760,383,124.4772,41.5404
1782,385,124.4773,54.8143
862,399,124.4787,33.6911
931,332,124.4816,31.4063
1207,317,124.4910,29.0539
2272,395,124.5007,15.4588
1149,3,124.5099,-1.0435
2420,33,124.5123,11.8310
861,610,124.5151,32.1980
826,161,124.5205,35.0456
1757,170,124.5287,7.3223
2571,111,124.5298,8.2669
931,124,124.5349,29.6665
861,602,124.5398,32.3202
2571,431,124.5415,10.0075
547,404,124.5418,44.5302
1296,248,124.5479,5.6206
2082,10,124.5528,18.3205
862,386,124.5538,33.5650
442,382,124.5540,51.3231
1266,436,124.5544,26.5269
1757,161,124.5548,7.3486
931,422,124.5569,31.0480
2271,295,124.5656,16.7066
2422,426,124.5743,13.1315
826,128,124.5787,34.2967
547,157,124.5943,43.7761
2674,459,124.5962,38.8499
440,23,124.5978,48.8197
548,333,124.5980,45.3828
893,480,124.5998,37.9389
1207,299,124.6032,28.7156
1266,474,124.6108,26.2545
760,422,124.6339,41.9145
1585,492,124.6366,24.5286
1872,549,124.6419,56.7160
862,256,124.6554,32.8221
1296,268,124.6587,6.3874
931,322,124.6625,31.5167
2270,585,124.6630,15.8356
547,100,124.6763,43.0496
826,429,124.6848,35.8789
2422,251,124.6879,12.2974
547,483,124.6880,44.2031
440,600,124.7084,49.1381
1585,411,124.7091,25.1757
1207,265,124.7138,28.9509
1206,598,124.7251,27.9643
893,405,124.7321,38.9971
2423,283,124.7324,9.9800
1925,624,124.7332,20.3674
1149,39,124.7463,-0.5537
2571,450,124.7465,9.2366
1926,435,124.7553,22.9411
1585,415,124.7626,25.0228
2272,272,124.7754,15.2464
759,604,124.7756,39.8038
1585,9,124.7799,23.5924
826,428,124.7877,35.8494
1585,402,124.7897,25.0631
442,251,124.7923,50.1999
2271,257,124.7943,17.0533
1206,593,124.8135,27.8864
2271,226,124.8235,17.1962
826,100,124.8474,34.7816
1184,76,124.8542,3.4155
1781,527,124.8737,53.8114
440,7,124.8765,48.1405
1266,537,124.8848,26.1100
2077,606,124.8850,1.0912
2422,239,124.8891,12.5218
1296,215,124.8912,5.8394
441,508,124.8950,47.6714
2674,449,124.8951,39.2573
2674,60,124.8973,37.0326
1927,325,124.9093,22.1679
2571,71,124.9191,8.3994
1207,268,124.9216,28.9845
760,121,124.9238,40.6163
862,166,124.9390,32.8888
862,422,124.9517,33.6251
931,175,124.9525,30.3611
1873,464,124.9703,58.5200
547,447,124.9835,45.2080
931,375,124.9888,31.8133
931,480,124.9891,30.8772
1782,254,124.9992,53.9401
1781,600,125.0008,53.3540
931,378,125.0030,31.5697
862,167,125.0255,33.0189
1781,31,125.0275,52.3663
1757,445,125.0364,7.9870
548,294,125.0461,45.2252
826,45,125.0532,34.7239
1585,502,125.0656,24.4567
1757,456,125.0671,8.2044
2571,121,125.0675,8.7774
2422,198,125.0712,12.7658
760,499,125.0845,40.8564
893,522,125.0891,39.0575
862,128,125.0906,32.1271
1781,16,125.0990,52.3058
760,130,125.1018,40.2802
1207,217,125.1145,28.8025
1757,547,125.1341,7.8169
547,109,125.1416,43.4644
2422,195,125.1493,12.7498
2272,439,125.1504,15.5017
1781,30,125.1612,52.4518
931,483,125.1619,31.0074
893,69,125.1653,37.3604
1154,357,125.1803,0.3746
1757,451,125.1900,8.0573
1267,307,125.1948,27.3509
547,58,125.2114,43.1962
931,152,125.2287,30.5626
1757,529,125.2432,8.3300
1783,343,125.2473,56.1728
441,79,125.2483,45.7841
442,374,125.2499,51.9901
1154,316,125.2510,-0.4024
1185,266,125.2575,3.7177
1781,562,125.2706,53.8629
1872,75,125.2806,56.3531
931,491,125.2817,31.1309
1585,526,125.2953,25.4329
1154,315,125.3238,-0.6571
1757,65,125.3364,7.1495
826,459,125.3368,36.1360
1757,73,125.3374,7.4263
1757,523,125.3426,8.3298
2271,176,125.3546,17.4165
826,452,125.3996,36.6618
2422,140,125.4123,12.2917
547,568,125.4189,44.9359
1781,587,125.4396,52.9587
547,505,125.4596,44.2052
2422,481,125.4622,13.3752
1207,126,125.4662,28.1875
2423,187,125.4664,10.6286
2271,508,125.4721,17.9412
442,193,125.4743,50.5224
2423,420,125.4806,11.9973
1266,602,125.4816,26.0176
862,370,125.4833,34.0703
760,41,125.4983,40.3768
2272,459,125.5010,16.4480
894,358,125.5195,39.6230
1781,636,125.5326,53.0611
931,533,125.5382,31.6658
2274,346,125.5515,16.0769
1267,347,125.5596,27.8669
1585,565,125.5604,25.3174
1154,261,125.5625,-0.3440
1267,264,125.5751,27.2978
2272,449,125.5753,16.9732
1927,479,125.5884,21.7363
826,444,125.5894,36.6058
1586,287,125.5950,25.6521
862,112,125.6049,33.2880
1872,36,125.6099,56.3416
2422,87,125.6135,11.7262
2271,145,125.6277,17.3946
826,540,125.6436,36.2597
1782,164,125.6445,54.5725
2423,174,125.6460,10.6352
2674,68,125.6470,37.5382
1267,351,125.6535,27.7734
2272,92,125.6589,14.6988
2271,153,125.6663,17.5229
2571,83,125.6682,8.6439
1585,606,125.6757,25.2523
1874,319,125.6769,60.1490
761,363,125.6956,42.6198
862,6,125.6972,32.7837
2422,84,125.6984,12.0297
2422,506,125.7129,13.2649
1296,377,125.7377,7.0179
1927,461,125.7479,21.6461
1926,552,125.7860,22.9487
1154,422,125.8015,0.2819
1782,216,125.8044,53.8400
548,397,125.8147,46.3660
1926,62,125.8191,22.7013
442,166,125.8228,50.5975
441,482,125.8370,47.3390
760,632,125.8379,41.4326
1926,8,125.8432,22.2950
2274,391,125.8472,15.8686
862,442,125.8502,34.8087
1296,145,125.8692,6.1961
1207,171,125.8847,29.1341
443,343,125.8894,49.7344
548,398,125.9084,45.9393
1926,66,125.9096,22.8092
760,565,125.9173,41.1377
862,455,125.9186,34.4647
2083,342,125.9247,20.4255
2083,280,125.9422,19.7298
760,635,125.9481,41.4780
2422,156,125.9577,12.8921
1783,256,125.9675,55.3063
1586,220,125.9892,25.9370
2422,441,125.9900,13.8423
760,637,125.9929,41.6276
442,508,126.0037,51.3647
931,620,126.0068,31.5205
931,549,126.0246,31.2098
1185,506,126.0416,4.3884
2423,55,126.0458,10.2168
2571,640,126.0702,9.5414
894,198,126.0769,39.4702
2674,621,126.0835,38.2394
760,608,126.0865,41.2362
548,195,126.0944,44.5859
2083,324,126.0973,20.7574
1758,202,126.1124,7.3905
1874,282,126.1165,59.6018
1926,606,126.1168,23.6855
1783,383,126.1184,56.4267
1758,220,126.1483,7.5454
862,73,126.1484,33.1253
2272,17,126.1522,14.5568
1207,366,126.1581,30.1415
2083,223,126.1597,19.6662
548,427,126.1631,46.4965
2330,315,126.1685,24.3153
2271,45,126.1748,16.5028
1296,2,126.1808,5.9177
1927,42,126.1932,20.2150
862,536,126.1992,34.0709
1874,343,126.2168,60.5256
2422,581,126.2251,13.0381
1154,489,126.2257,0.5170
1758,276,126.2428,7.9829
549,302,126.2485,46.3812
2422,575,126.2522,14.2618
2572,290,126.2591,9.2371
827,299,126.2626,36.2556
862,553,126.2638,33.5688
1296,446,126.2648,7.2289
761,402,126.2847,42.4118
931,615,126.2873,31.5111
1185,88,126.2920,3.3004
1874,264,126.2939,59.6693
1874,346,126.2949,60.6694
2422,7,126.3129,11.9648
2572,333,126.3186,9.7834
1782,452,126.3222,55.2364
2423,52,126.3256,10.2307
1783,367,126.3335,57.0900
1154,170,126.3367,-0.5604
2274,260,126.3458,15.2163
2274,241,126.3469,15.0183
894,182,126.3480,39.0161
442,527,126.3535,52.4406
1758,222,126.3545,7.6706
931,635,126.3636,31.0055
1267,51,126.3828,26.6054
1154,172,126.3896,-0.1899
442,550,126.3966,51.4518
1207,516,126.4111,29.7803
826,589,126.4172,35.7373
2271,120,126.4179,17.6827
1207,509,126.4199,29.8961
894,91,126.4301,38.6415
1874,272,126.4335,59.7672
862,543,126.4359,33.5358
2425,341,126.4392,14.3103
894,83,126.4406,38.6045
862,554,126.4491,33.4769
2572,375,126.4503,9.8943
1154,451,126.4549,0.7036
826,640,126.4590,35.8011
826,638,126.4644,35.8935
1185,97,126.4715,3.4059
1927,574,126.4980,22.0264
2549,475,126.5132,83.6748
2422,61,126.5134,12.6463
862,580,126.5139,34.4669
826,633,126.5173,35.8395
1154,444,126.5500,0.9862
548,167,126.5523,45.2321
1758,84,126.5577,6.9740
443,433,126.5577,49.8387
442,52,126.5671,50.3470
2083,412,126.5717,21.0872
444,347,126.5759,53.1813
1586,364,126.5809,26.2884
1758,122,126.5814,6.7477
932,208,126.5821,31.8133
2423,594,126.5880,11.0915
1927,571,126.5963,21.9424
1586,179,126.5999,25.7375
1586,379,126.6051,26.2146
2271,591,126.6169,17.9113
2272,633,126.6174,15.3856
1928,289,126.6177,23.2509
443,178,126.6300,48.5558
2272,608,126.6348,16.1949
1782,556,126.6366,54.7611
1296,600,126.6465,6.6314
2572,246,126.6523,9.2467
1267,142,126.6544,27.5782
442,528,126.6608,51.8759
2274,202,126.6811,14.5743
2274,409,126.6861,16.5970
1296,569,126.6912,7.2797
1758,193,126.6930,7.8557
1873,108,126.7165,57.8252
2572,234,126.7174,9.1868
2422,39,126.7542,12.5750
761,126,126.7760,42.0014
2424,227,126.7771,10.8734
826,636,126.7844,35.9257
1296,602,126.7956,7.2807
2549,479,126.8118,83.5261
2423,636,126.8253,11.0365
1296,31,126.8319,6.3098
1873,74,126.8342,58.1791
1185,44,126.8447,3.4656
1267,408,126.8543,28.7934
1928,249,126.8597,23.0441
1586,416,126.8607,26.4675
1197,346,126.8730,35.7412
1267,489,126.8809,28.2483
548,514,126.8858,46.6483
1873,553,126.8926,58.4124
2424,256,126.8938,10.7736
2274,176,126.9008,15.6591
1296,34,126.9037,6.3034
2425,273,126.9258,13.2693
1297,316,126.9339,6.7524
761,508,126.9465,42.8781
548,537,126.9487,45.3676
1197,246,126.9870,34.4470
827,173,126.9979,37.0181
761,28,127.0070,41.3270
2425,272,127.0147,13.2698
548,157,127.0190,44.8825
761,519,127.0196,43.0805
1296,33,127.0323,6.3594
2273,121,127.0339,17.8260
1185,575,127.0341,4.3176
2424,404,127.0382,12.9336
1154,565,127.0450,1.2359
932,165,127.0494,32.2326
1297,354,127.0561,6.8906
1927,626,127.0643,21.7205
2425,321,127.0742,14.6117
894,495,127.0818,39.6048
444,436,127.0826,53.0147
2273,139,127.0883,17.8571
1873,9,127.1190,57.6333
444,337,127.1192,53.4393
2274,515,127.1449,15.9709
2572,352,127.1505,10.2052
549,284,127.1557,45.7366
1267,536,127.1955,28.7185
444,423,127.1971,53.1213
2424,412,127.2022,12.1869
2572,189,127.2048,8.9819
443,120,127.2132,48.1203
2828,271,127.2195,-4.4942
1873,7,127.2269,57.2770
761,558,127.2280,43.2056
443,498,127.2326,49.0476
2424,457,127.2384,12.8611
1927,29,127.2395,20.8788
443,511,127.2499,50.0809
1267,535,127.2535,28.4678
762,355,127.2613,44.0865
2273,93,127.2665,18.0129
1267,67,127.2716,27.7164
1928,199,127.2777,24.3897
1267,556,127.2798,27.9789
1207,638,127.2821,29.4652
761,82,127.3073,41.9135
1197,424,127.3246,35.5211
548,27,127.3269,44.4375
932,156,127.3485,32.0132
2828,245,127.3490,-5.2699
2275,267,127.3619,18.4968
2275,337,127.3994,19.8387
1758,157,127.4013,8.0280
1297,389,127.4138,7.1458
827,414,127.4194,38.4053
2424,140,127.4284,10.7191
2572,151,127.4754,9.2658
932,501,127.4845,32.6774
1154,9,127.4986,-1.0784
1873,32,127.5100,58.2035
932,445,127.5182,33.6621
1758,141,127.5214,7.6818
2549,124,127.5287,82.0193
1197,84,127.5377,33.9574
1782,636,127.5439,54.8798
1586,39,127.5464,25.2764
761,43,127.5530,41.7865
761,37,127.5721,41.5893
1586,100,127.5836,25.5763
761,522,127.5842,42.4557
2828,201,127.5874,-5.3123
2424,166,127.5904,11.3607
548,35,127.5906,44.6670
2274,113,127.6212,15.4979
549,231,127.6278,46.5199
1186,344,127.6331,5.3352
1929,221,127.6342,22.5758
1185,616,127.6419,4.2397
2330,401,127.6445,25.4189
549,255,127.6452,45.8670
1873,13,127.6567,57.4303
1297,436,127.6659,6.8696
2549,125,127.6729,82.2887
1154,611,127.6732,0.8750
932,528,127.6811,33.6208
2330,176,127.6877,23.9176
1208,127,127.6916,29.5525
443,28,127.6929,47.7796
442,640,127.6961,51.1738
1929,223,127.6967,22.2660
1928,160,127.7039,23.9734
1928,518,127.7062,24.4559
1186,400,127.7074,4.6397
1197,462,127.7103,35.4558
2276,272,127.7131,16.2339
2274,577,127.7147,16.4834
932,557,127.7156,32.5577
827,450,127.7204,38.1520
827,456,127.7207,38.2121
2425,87,127.7221,12.7664
894,68,127.7238,39.0501
2273,571,127.7260,18.1925
932,558,127.7315,32.7284
762,279,127.7528,43.7408
2275,369,127.7547,19.7262
2424,159,127.7601,11.3694
933,310,127.7607,33.9675
444,194,127.7625,52.5927
444,415,127.7704,53.4167
827,2,127.7818,36.6246
895,247,127.7834,40.4253
761,20,127.7964,41.9972
2273,569,127.8147,18.7779
2424,572,127.8152,12.3303
827,534,127.8163,38.2401
2424,141,127.8186,11.2103
2276,273,127.8257,16.1344
762,288,127.8271,42.7913
1197,57,127.8320,34.4379
443,51,127.8323,48.3385
2275,424,127.8371,19.3738
2572,134,127.8434,9.6608
895,271,127.8441,40.7732
2275,254,127.8569,18.2535
1186,294,127.8590,3.9022
827,551,127.8707,37.7466
932,62,127.8769,32.0938
1208,94,127.8831,30.3219
2572,433,127.8984,10.2328
828,315,127.9001,38.8958
894,543,127.9124,39.5432
549,190,127.9242,46.3228
2083,595,127.9328,20.8181
2276,424,127.9338,16.8139
548,20,127.9562,45.0914
2828,97,127.9593,-5.5170
1186,392,127.9732,4.7072
762,297,127.9744,43.3304
2275,363,127.9768,19.9037
1267,603,127.9853,28.3845
2425,118,128.0063,13.4172
1586,592,128.0064,26.6116
1208,97,128.0109,30.3187
2427,352,128.0148,14.7838
1874,128,128.0198,59.3984
2275,219,128.0218,18.3765
2274,611,128.0254,16.7260
1758,614,128.0378,8.7970
1928,105,128.0399,23.7723
827,549,128.0433,37.5452
444,497,128.0516,53.0576
1586,54,128.0745,26.0282
2572,76,128.0771,9.1370
2424,582,128.0806,11.7483
1929,426,128.0809,23.0948
2549,122,128.0917,81.9336
549,211,128.0984,45.9053
1587,331,128.1022,27.5115
1586,626,128.1117,26.6902
933,264,128.1242,34.0363
2274,25,128.1255,15.1922
2275,183,128.1286,18.7408
2083,610,128.1317,21.2596
2276,260,128.1414,15.6640
828,271,128.1431,38.7172
1208,402,128.1445,31.9053
1268,262,128.1448,28.8683
1874,169,128.1512,59.9902
1208,59,128.1522,30.3821
827,568,128.1630,38.3969
2276,230,128.1868,16.2361
2274,609,128.1983,16.6691
2274,623,128.2058,15.9024
1297,463,128.2126,6.9607
2275,134,128.2318,18.3835
2330,56,128.2377,23.6814
1587,315,128.2399,26.7578
1586,577,128.2407,26.3424
2425,600,128.2457,13.7156
1197,500,128.2569,35.5261
1186,186,128.2614,4.1296
1784,303,128.2627,57.1154
1197,485,128.2639,35.6000
895,327,128.2697,41.8920
2275,457,128.2875,19.6852
2276,211,128.2900,15.6424
2275,136,128.3007,18.3680
550,340,128.3044,48.7777
1874,374,128.3054,61.6584
2426,288,128.3099,11.3934
894,615,128.3106,40.2753
1197,518,128.3200,35.4097
1928,536,128.3225,24.9809
933,286,128.3263,33.2307
1928,49,128.3330,23.5158
1758,632,128.3400,8.2107
444,495,128.3433,52.9306
2572,521,128.3438,9.9948
933,285,128.3439,33.1829
1929,465,128.3493,23.0222
444,180,128.3524,52.6653
1759,283,128.3617,8.2645
762,213,128.3659,43.3877
1758,636,128.3669,8.2215
895,188,128.3771,40.6534
1928,52,128.3774,23.6526
2426,372,128.3794,12.0925
549,511,128.3824,46.8386
549,175,128.3963,46.6005
1186,219,128.4024,4.0189
2426,306,128.4024,11.0280
2275,139,128.4060,18.3748
895,325,128.4099,42.0289
1208,103,128.4235,30.5636
1197,529,128.4284,36.2414
550,296,128.4338,47.1758
1930,306,128.4364,25.6539
2572,558,128.4368,10.5026
1268,235,128.4412,28.9649
2426,254,128.4485,11.9362
1297,514,128.4536,6.8487
762,467,128.4561,44.1647
1186,172,128.4583,4.5333
828,266,128.4609,38.6564
1208,9,128.4719,30.3885
2330,2,128.4748,23.5969
864,296,128.4781,35.8102
550,354,128.4782,48.3428
1197,504,128.4821,35.7706
1268,464,128.4961,29.4932
762,220,128.5002,43.0300
894,631,128.5021,39.7047
2274,613,128.5071,16.3996
2426,344,128.5503,13.1866
1759,388,128.5506,8.9683
445,375,128.5579,51.2041
2828,558,128.5608,-4.2293
1197,119,128.5625,35.2210
2275,158,128.5650,18.5241
932,613,128.5657,33.0010
864,286,128.5713,35.8092
2276,199,128.5869,15.8205
1928,65,128.5943,24.1127
2427,250,128.5965,13.5594
2275,90,128.6021,18.0569
828,269,128.6199,38.6985
1929,44,128.6227,21.6735
2275,82,128.6303,17.9891
864,261,128.6317,36.3377
550,388,128.6509,48.2878
1929,486,128.6529,23.1080
2330,67,128.6543,23.9901
1187,352,128.6554,5.7772
895,132,128.6671,40.4172
827,611,128.6709,38.0637
2330,589,128.6720,24.5518
2425,614,128.6740,14.1807
933,392,128.6859,34.0707
1784,268,128.6973,57.1695
1297,419,128.7076,7.4906
828,232,128.7109,38.5603
2960,360,128.7132,32.3670
2276,90,128.7228,15.6695
2275,89,128.7239,17.7656
1197,63,128.7354,34.8778
1268,500,128.7551,29.3984
1874,160,128.7839,60.0291
2275,446,128.7938,20.2909
1297,517,128.7955,6.8480
1587,273,128.7986,26.2848
2960,358,128.8016,32.3192
762,163,128.8020,43.4949
2277,305,128.8047,19.6184
1297,548,128.8048,7.1248
1208,10,128.8156,30.3794
2960,351,128.8202,32.4196
445,234,128.8256,50.5009
1187,358,128.8279,5.6970
1209,319,128.8322,32.2082
828,234,128.8325,38.8290
2427,246,128.8437,13.4951
2427,270,128.8469,14.3252
550,398,128.8647,48.3870
1759,260,128.8738,8.0993
2276,143,128.8761,16.1374
2572,606,128.8838,10.0065
1269,318,128.8960,29.8724
2278,314,128.8962,17.0276
1929,41,128.8987,21.3778
933,219,128.9315,32.8043
828,331,128.9420,39.8280
1197,38,128.9438,35.2169
864,268,128.9461,36.4225
2960,359,128.9496,32.6054
2084,288,128.9579,20.9609
2960,357,128.9618,32.7660
1297,63,128.9622,6.3233
1928,624,128.9640,24.6894
550,327,128.9652,49.0461
2278,290,128.9693,16.5622
933,212,128.9959,33.0064
443,17,129.0044,48.7355
828,219,129.0284,37.6789
1929,11,129.0287,21.3794
1197,618,129.0337,35.8303
2277,292,129.0337,19.0474
549,155,129.0384,46.3392
1186,575,129.0463,5.8017
762,443,129.0515,45.2496
2084,262,129.0675,21.8133
2960,310,129.0684,32.1342
1187,305,129.0749,5.1283
828,137,129.0834,37.9815
1783,595,129.0874,56.3441
2960,302,129.1021,31.9749
1186,581,129.1112,5.2735
1187,324,129.1273,6.3458
1297,589,129.1377,7.0507
2276,556,129.1627,16.5696
1929,543,129.1698,23.2352
1587,194,129.1750,26.5102
2960,343,129.1772,32.8964
445,204,129.1785,49.6596
549,5,129.1922,46.0565
2960,383,129.2087,32.7431
1587,474,129.2212,27.8442
2427,217,129.2268,13.2725
828,467,129.2301,39.5051
1297,594,129.2325,6.6846
864,223,129.2334,36.2266
2277,278,129.2373,19.2210
1587,106,129.2403,26.6841
1587,476,129.2420,27.6462
2960,264,129.2486,32.2058
1197,35,129.2493,35.1720
2427,455,129.2494,15.1988
2276,547,129.2523,17.0913
2084,224,129.2529,21.8137
1197,30,129.2535,35.0973
2084,221,129.2567,22.0869
864,436,129.2653,36.7474
1784,196,129.2683,57.6264
895,483,129.2731,41.2168
2426,160,129.2734,11.7963
2330,36,129.2890,24.2219
2427,484,129.3037,14.9882
2960,395,129.3142,32.4568
2573,284,129.3203,9.4549
2960,398,129.3208,32.7101
2960,262,129.3241,32.2395
550,477,129.3277,48.4684
549,595,129.3304,46.9199
1784,402,129.3434,58.4172
446,437,129.3549,54.3117
828,100,129.3565,38.3403
1209,246,129.3614,31.3386
864,210,129.3637,35.4889
2427,503,129.3733,14.7841
2960,272,129.3762,32.2050
933,98,129.3943,33.2426
1186,624,129.3957,4.9232
2426,144,129.3995,11.6111
2960,274,129.4112,31.8107
1187,423,129.4159,6.0232
2427,182,129.4190,14.0377
2275,569,129.4234,20.0659
2277,369,129.4325,20.4838
1759,483,129.4328,8.8404
895,537,129.4334,42.1122
2084,399,129.4357,22.3334
1187,184,129.4406,5.3526
828,405,129.4415,39.8936
864,433,129.4566,36.6960
2960,386,129.4583,32.5313
2331,176,129.4870,53.4838
828,178,129.4913,38.6242
1874,518,129.4942,60.4370
2427,510,129.4990,14.9234
1875,268,129.5064,62.0340
1209,250,129.5089,30.9967
550,407,129.5097,48.9036
1930,205,129.5156,24.4453
933,497,129.5180,34.2679
550,418,129.5216,48.7933
933,413,129.5263,35.1935
1784,182,129.5348,57.0637
446,264,129.5353,53.8027
1759,363,129.5372,9.2779
2960,437,129.5376,32.7550
2084,393,129.5419,22.6879
1930,217,129.5440,24.5636
762,6,129.5452,43.0988
828,47,129.5475,38.3866
2960,431,129.5545,32.4106
2427,133,129.5547,13.9696
2960,422,129.5551,32.7615
1297,578,129.5556,7.3613
1930,183,129.5585,25.2412
2960,263,129.5594,32.2503
2426,122,129.5626,11.7990
2960,261,129.5671,32.0562
549,610,129.5693,47.5862
1269,277,129.5709,29.9240
445,481,129.5725,50.9742
1297,624,129.5822,6.8640
2426,523,129.5928,12.5506
2277,197,129.5982,19.2459
549,3,129.6014,46.0788
1929,12,129.6042,21.7693
2426,139,129.6053,11.7953
1929,28,129.6123,22.4664
1209,399,129.6149,32.5876
2277,422,129.6347,20.0284
864,193,129.6358,36.4264
2275,621,129.6416,19.4073
895,576,129.6430,41.8107
549,584,129.6457,47.1547
1269,291,129.6579,29.5570
1268,120,129.6632,28.9813
2277,183,129.6661,19.6638
1297,606,129.6692,7.5530
828,496,129.6732,39.0381
2960,434,129.6760,32.9439
895,507,129.7028,41.2844
2426,83,129.7193,11.8558
1875,317,129.7213,61.7589
763,300,129.7411,45.0987
2278,473,129.7445,17.3854
1187,194,129.7579,5.0433
1187,135,129.7580,4.8960
2277,468,129.7656,19.8924
1783,26,129.7656,55.9344
1188,327,129.7672,5.5385
2278,185,129.7707,16.5596
2277,461,129.7954,20.0354
1298,310,129.8014,7.3047
550,460,129.8089,48.8572
933,507,129.8312,34.3563
933,459,129.8356,35.4165
933,152,129.8421,33.8110
933,501,129.8423,34.6225
1931,326,129.8462,25.1349
763,266,129.8487,45.6556
1188,390,129.8567,4.9056
2084,85,129.8697,21.2346
2573,429,129.8697,10.7128
2960,260,129.8705,31.5353
1875,263,129.8761,61.7650
549,28,129.8804,46.4756
1209,233,129.8843,31.9718
2427,87,129.8859,13.8551
864,95,129.9172,35.9061
564,356,129.9227,3.3048
1209,433,129.9248,32.4007
828,7,129.9255,38.0907
550,174,129.9287,47.9483
2426,52,129.9295,11.6194
2960,380,129.9374,33.1295
2960,192,129.9411,32.1824
1187,92,129.9415,4.4649
445,505,129.9426,51.2008
1875,272,129.9443,61.9470
1587,489,129.9564,27.8008
1187,482,129.9594,5.9366
550,132,129.9635,47.0732
446,477,129.9792,54.5490
564,310,129.9808,2.8626
1929,40,129.9826,22.7044
444,632,129.9966,53.3065
864,158,130.0277,36.4254
2428,293,130.0299,11.9711
896,302,130.0307,42.5887
2427,115,130.0325,14.0769
829,360,130.0396,40.4918
2429,330,130.0484,15.4044
864,60,130.0485,36.1487
828,505,130.0511,39.4973
762,589,130.0612,44.3194
933,110,130.0642,33.6165
549,611,130.0677,47.4354
1759,59,130.0723,8.1808
2573,438,130.0745,10.5747
2277,511,130.0797,20.1001
1298,285,130.0980,6.6275
1298,267,130.1139,7.0103
2426,46,130.1212,11.7960
2573,422,130.1302,10.8163
1187,173,130.1307,5.4827
445,43,130.1373,49.7147
1188,370,130.1410,5.4406
829,350,130.1486,40.5201
1931,236,130.1507,23.9235
1784,530,130.1523,58.8348
762,30,130.1533,43.8211
1759,49,130.1558,7.8645
1187,519,130.1595,6.0768
444,627,130.1636,52.9180
550,178,130.1691,47.7015
1187,150,130.1720,5.0014
864,504,130.1758,37.0979
2428,280,130.1780,12.5310
933,578,130.1820,35.2540
933,551,130.1841,34.1838
1759,535,130.1892,9.1360
1268,621,130.1975,29.5744
2960,215,130.1977,31.1202
2277,443,130.2009,20.4287
1588,308,130.2040,27.6319
564,400,130.2052,3.1577
895,31,130.2134,40.8019
1298,241,130.2139,6.8462
864,501,130.2319,37.0771
2278,171,130.2337,17.0704
2278,162,130.2408,16.8893
1269,127,130.2446,29.1902
1269,197,130.2528,30.0981
1269,374,130.2558,31.3281
2428,341,130.2605,13.2203
828,109,130.2659,38.5650
2429,356,130.2662,15.8758
2960,165,130.2673,31.9783
2960,473,130.2687,32.3534
896,283,130.2687,42.1386
1784,538,130.2700,58.2084
2278,530,130.2708,18.5522
1187,414,130.2798,6.2899
933,106,130.2802,33.6560
2960,138,130.2864,31.5596
896,273,130.2879,42.4460
2960,171,130.2935,32.0832
1298,242,130.3023,6.8582
2960,163,130.3127,31.6957
1759,527,130.3245,9.5459
2084,455,130.3385,22.7119
933,594,130.3394,34.1697
1269,465,130.3484,30.4458
1588,243,130.3523,28.0084
828,556,130.3543,39.3055
550,572,130.3677,48.9063
2960,126,130.3749,31.4079
1268,38,130.3761,29.0529
1759,537,130.3790,9.0448
