# thingid,plate,mjd,fiber,qso_z,ra,dec,dla_z,cental wavelength,central wavelenth error,log10(column density),  error_log10(column density), velocityDisp, snr, estimated efficiency, velocity separation 
26355008	4389	55539	202	3.15	38.564962	-9.3922412	2.82150345114	4645.67945744	0.323738434798	20.3543925038	0.0223782855427	25.7777422463	12.2299866046	0.934254399251	23730.3103198
27110638	4389	55539	253	3.845	38.439942	-9.2007423	3.25032742069	5166.98703485	1.06585970197	20.0868463782	0.0634299877171	29.9961407299	4.814422104	0.74948385041	36796.3579479
27111007	4389	55539	213	3.4	38.50507	-9.0330454	2.50498223735	4260.89474651	0.737355002294	20.3318929936	0.0558867993034	24.5885264328	5.2154047514	0.926426102383	60981.7215953
28781480	4389	55539	154	2.81	38.763836	-8.6016415	2.7226963622	4525.56284124	0.248107215466	20.2729916779	0.0172052122021	23.2341824489	16.7317409597	0.901229706207	6869.54650108
30178965	4389	55539	620	2.542	37.605775	-8.3403704	2.18493082848	3871.81849039	1.08623263696	20.244381167	0.110386203707	23.6954623569	2.3341339778	0.880647653319	30222.0905157
30210120	4389	55539	699	3.205	38.074309	-8.2084219	2.51603382739	4274.32981088	1.70604871449	20.3964510621	0.118606408724	32.354457788	2.32485952032	0.94445348504	49119.3489572
30294236	4389	55539	772	3.693	38.449545	-8.2514782	3.56981463279	5555.37741501	2.99135264144	20.5822464424	0.120679822108	31.0390316501	3.381780473	0.97895794473	7869.17622565
31790649	4389	55539	808	2.534	38.537386	-7.8521226	2.31797962625	4033.56165629	0.349034350739	20.6473030037	0.019857939503	31.0890062756	13.3348025333	0.984800838523	18325.2062321
34005439	4389	55539	679	5.423	37.906872	-7.4817972	5.01927012336	7317.43407233	2.65489089787	20.7705960757	0.0779490661224	29.1992938155	3.83507449534	0.991794744199	18844.0249238
35086022	4389	55539	956	2.482	39.259769	-7.1228257	2.19803720806	3887.75149665	0.818095147731	20.6697427195	0.0503696885298	31.7058590779	4.90609930898	0.986413975127	24448.5650131
35673475	4388	55536	136	2.91	38.16387	-7.0334817	2.42722851622	4166.37203586	1.42484717017	20.8340581125	0.0674610268842	27.7123488603	3.03553719528	0.994025713262	37015.6649039
36052517	4388	55536	428	3.315	36.29829	-7.0411561	3.19163875288	5095.64109944	2.54532574105	20.9444320598	0.0987687161772	26.5662139786	2.24859191553	0.996537256339	8570.74658079
37532698	4388	55536	270	2.338	37.555	-6.5531249	2.29422893954	4004.68870648	3.50185980136	20.9265069215	0.12550150047	26.859351457	2.61307544194	0.99623697845	3931.16650796
37878621	4388	55536	28	2.857	38.611137	-6.590593	2.77538466405	4589.61432377	0.934965407905	20.2699604828	0.0698864221411	25.1342350047	3.63341013647	0.899721344557	6343.70292334
41100648	4388	55536	974	2.627	38.73387	-5.8647677	2.44903880005	4192.88609998	2.66029026142	20.777457539	0.126343790069	29.1731134563	2.09367693087	0.99000517585	14709.5190408
41924274	4388	55536	924	2.953	38.323096	-5.7083497	2.76312069584	4574.70541007	0.564210154561	20.004952695	0.050336386507	27.3114342384	5.53890352086	0.622718420504	14400.2993468
46597511	4387	55534	100	3.741	36.977582	-4.7598772	3.23704757099	5150.84314654	1.04415044598	20.0843266048	0.065475113917	31.082864724	4.25740317694	0.746307664624	31866.9346987
46712029	4387	55534	6	3.056	37.587759	-4.6829248	2.95875538724	4812.5322441	1.69733913994	20.6300195824	0.0970235064607	31.3892896813	2.31424071711	0.983079391404	7187.67295024
46845601	4386	55540	350	2.948	38.126589	-4.6293577	2.2047329348	3895.89127738	1.13730604283	20.1012971692	0.13291313971	27.3608890647	2.42997713383	0.76267965379	56440.1875449
47225915	4387	55534	416	2.776	35.466343	-4.6945454	2.68324471339	4477.60273423	1.71475949246	20.3666127935	0.122063374873	26.3220989449	2.2227870934	0.929747848022	7364.23076449
47388710	4387	55534	264	2.476	36.419067	-4.6403425	2.1692518593	3852.75806929	0.425338509225	20.1562993885	0.0394639757986	43.2192377139	7.40660740813	0.822980776086	26455.9203356
48944949	4386	55540	989	2.404	39.784477	-4.298985	2.2467738495	3946.99907207	0.280781509152	20.2318690153	0.0256497551441	25.4835482305	10.524118699	0.878682605979	13847.0076738
49511223	4386	55540	804	3.334	38.671287	-4.1197179	2.60102094667	4377.64593219	0.239262287411	20.5140281064	0.0153750543427	33.1022044518	20.1381124483	0.970404724205	50701.7978913
51749327	4048	55602	330	2.695	202.49391	-3.4966092	2.10668162357	3776.69343596	1.72106623223	20.5562853602	0.125604183355	33.9656113756	2.36898387408	0.975715370476	47732.9938181
51791188	4048	55602	204	3.138	203.02571	-3.4831366	3.0923227393	4974.90579984	0.429391405602	20.5537462856	0.0209287994925	33.8874115749	11.6910510259	0.975735270115	3309.25525841
51975874	4047	55352	42	3.685	205.81776	-3.4539123	3.38573694861	5331.60006484	0.754388970447	20.44445732	0.0411872761234	25.9767177312	5.47952569601	0.958092337804	19149.7984556
52041840	4348	55559	410	3.13	26.953355	-3.4097872	3.04034724141	4911.72085027	0.542210439472	20.5215822965	0.0297873044686	35.8113821483	8.12410418469	0.971501718238	6507.80166217
52144960	4366	55536	370	3.059	3.7930835	-3.4351582	3.03787133608	4908.71097139	1.26868766405	20.1231966792	0.0859117957708	40.9797243749	2.56334891815	0.790201613817	1560.53562204
52148631	4367	55566	209	2.328	6.4939871	-3.3629727	2.28260107799	3990.55308728	0.555721387437	20.3119398212	0.0414779347253	26.573196748	5.70583377691	0.918707303953	4089.61971728
