ix96629, plate, fiber, Z_START, Z_END, RA, DEC
2774,528,490,2.587157,3.750891,204.222670,2.727257
2775,1570,636,2.200000,2.626845,251.873140,21.687152
2776,918,509,2.359312,3.354911,217.262660,-1.755374
2777,2110,289,2.317801,3.089542,201.856590,29.758436
2778,1349,315,2.511158,3.315232,216.344970,39.727218
2779,480,42,2.244519,2.417054,147.277710,0.434770
2780,1865,364,2.924193,3.968958,111.496060,43.384390
2781,1455,57,2.240040,3.194798,192.144650,46.654818
2782,938,347,2.200003,2.469168,138.097180,40.258406
2783,494,5,2.200000,2.415252,189.441850,66.504800
2784,1668,461,2.409968,3.128409,202.630070,51.843427
2785,1430,286,3.212601,4.104974,156.735820,38.478855
2786,774,199,2.200000,2.329618,165.708560,60.940510
2787,1054,401,2.821645,3.867424,238.473970,41.202429
2788,1386,142,2.427286,3.504668,229.562790,33.089759
2789,940,234,2.200000,2.645002,144.367230,41.989563
2790,1436,257,3.084608,4.012093,164.640870,44.531445
2791,1602,26,3.175902,4.284709,164.737880,11.024614
2792,420,119,2.200000,2.606768,14.250797,14.627186
2793,835,603,2.200000,2.361773,169.637030,5.655545
2794,1865,364,2.924193,3.968958,111.496060,43.384390
2795,951,418,2.200000,2.609787,169.809760,60.082546
2796,1572,85,2.458202,3.289115,247.928020,22.580033
2797,1169,597,2.200000,2.769118,240.597290,45.330601
2798,335,341,3.081787,4.200192,188.446760,-1.814948
2799,1202,195,2.238548,3.656604,144.639650,44.934295
2800,2108,400,2.220701,2.994917,180.516910,38.511232
2801,1595,148,2.318565,2.960445,147.779880,35.382061
2802,1230,265,2.966892,3.814627,183.658050,9.928561
2803,751,562,3.140477,3.456426,1.878445,16.125697
2804,403,203,2.343877,3.518716,29.423181,-1.108224
2805,647,56,2.264001,2.719846,354.914540,-10.594266
2806,599,356,2.285870,2.745229,179.554300,65.051033
2807,1349,315,2.511158,3.315232,216.344970,39.727218
2808,1265,145,2.200000,2.414104,121.483900,24.345148
2809,372,5,2.873025,4.068592,330.780780,-0.770023
2810,876,79,2.262499,2.346627,164.746380,50.166862
2811,390,271,3.171097,4.274205,4.958558,-0.677994
2812,2112,229,2.200000,2.503976,200.667740,32.465077
2813,449,630,2.949575,4.218349,136.169320,53.844125
2814,1191,423,2.209596,2.286632,135.560310,6.972068
2815,572,448,2.237802,3.002144,149.914940,4.927965
2816,2014,282,2.333115,3.043269,206.989580,37.180800
2817,1824,57,2.680021,3.073395,212.288460,6.096815
2818,1452,424,3.280065,3.837021,185.833000,42.664154
2819,1946,538,2.535496,3.468939,147.682690,32.094004
2820,1942,446,2.200000,2.352001,144.606420,31.136351
2821,1837,195,2.685958,3.806262,240.277440,4.592922
2822,1921,628,2.400559,3.397857,119.749230,16.969963
2823,785,419,2.691904,3.472196,202.688370,62.570134
2824,909,298,2.481371,3.426934,167.363280,55.689044
2825,449,630,2.949575,4.218349,136.169320,53.844125
2826,1158,355,2.858783,3.951020,206.639660,58.419219
2827,1750,368,2.200000,2.797195,163.819290,14.904709
2828,1759,283,2.200000,2.536518,128.361750,8.264458
2829,893,242,2.621182,3.419588,123.710310,37.163843
2830,2103,470,3.156716,4.319735,180.088110,36.323933
2831,543,67,2.363956,2.433795,118.282780,35.990928
2832,1612,372,2.490200,3.506975,182.345060,12.963412
2833,454,547,3.443757,3.726320,37.345359,-7.975883
2834,1762,484,2.200000,2.957317,177.938610,15.281083
2835,833,529,2.240786,3.432180,141.692760,47.189989
2836,1456,337,2.642087,3.150476,190.266010,42.234770
2837,451,174,2.893591,4.033932,140.734160,56.313684
2838,928,311,2.304839,3.071207,116.886000,24.796415
2839,773,634,3.385815,3.415479,162.494130,62.785463
2840,1681,514,2.200000,2.322272,238.479600,37.978925
2841,764,613,2.537124,3.583720,136.025920,48.349277
2842,1745,411,3.157673,4.084175,152.706830,13.463023
2843,961,134,2.230356,3.180988,157.286650,45.860939
2844,1320,212,3.298831,3.737051,200.690590,55.527263
2845,537,203,2.433605,2.654060,221.458150,0.513117
2846,498,172,2.200000,2.272049,211.277950,65.148831
2847,1736,382,2.532241,3.529478,114.946560,44.876870
2848,1711,87,2.200000,3.483146,220.708840,9.333762
2849,449,630,2.949575,4.218349,136.169320,53.844125
2850,461,555,2.872134,3.916538,53.529115,-6.568462
2851,1268,38,2.297998,2.730191,130.376080,29.052932
2852,529,310,2.253497,3.289838,204.491160,2.305824
2853,418,12,2.564925,3.674770,10.669384,14.258236
2854,1453,501,2.884636,3.731636,188.469780,47.834412
2855,949,629,2.948665,3.825003,166.004360,58.272607
2856,1645,135,2.773552,3.890956,218.776890,33.923908
2857,2085,476,4.010146,4.444466,132.932200,23.535826
2858,1285,117,2.200000,2.769088,210.142900,46.903791
2859,1001,422,3.416216,4.029348,162.005490,7.498006
2860,1950,362,2.230356,2.962089,149.464480,30.350959
2861,1589,619,2.200000,3.063010,134.404920,29.692354
2862,1694,578,2.470167,3.667850,192.155480,13.078041
2863,1978,177,2.383377,3.371078,202.856810,28.611436
2864,885,547,2.262499,3.520766,190.777330,53.089473
2865,569,327,2.200000,3.075186,142.984330,4.523256
2866,304,602,2.572320,3.624775,215.537990,0.910087
2867,1744,368,2.731216,4.020983,149.904660,13.204304
2868,737,583,2.987956,3.937595,337.100820,13.698595
2869,475,60,2.200000,2.606263,142.918730,0.898082
2870,335,341,3.081787,4.200192,188.446760,-1.814948
2871,1014,211,2.200000,3.009005,172.534150,53.905526
2872,1372,159,2.467770,3.225587,189.631070,44.549495
2873,2210,450,3.121453,4.040823,250.307310,13.699694
2874,1325,242,2.569853,3.068722,212.532210,53.122085
2875,2147,573,3.033205,4.303925,161.646860,9.927664
2876,879,248,2.200000,2.411312,171.053310,50.734905
2877,1714,193,2.381819,3.343734,222.522440,11.713411
2878,1325,466,2.200000,2.450130,212.675030,54.771979
2879,2008,205,3.066777,3.553802,175.053890,31.753390
2880,1583,183,2.200000,2.838755,118.792930,20.397700
2881,1400,144,2.489397,3.142932,231.249810,36.632183
2882,780,25,2.657214,3.341318,189.042310,61.935332
2883,636,135,3.063969,3.956000,313.789550,-7.296839
2884,914,496,2.617848,3.668335,208.528740,-2.100894
2885,1841,75,3.127151,3.179414,219.252110,32.660644
2886,1407,322,2.715783,3.208767,243.726530,30.008288
2887,1368,471,2.200000,2.249150,178.043450,45.307168
2888,2024,202,2.474964,3.466128,206.012800,31.820855
2889,1268,38,2.297998,2.730191,130.376080,29.052932
2890,446,189,2.200000,2.971999,130.400770,54.179728
2891,428,84,2.567388,3.025993,32.961375,12.163829
2892,1346,596,3.229123,4.160246,211.139770,42.753496
2893,397,382,2.753620,3.661049,17.094594,0.196657
2894,991,161,2.851681,3.994164,140.542740,4.964438
2895,1403,562,2.700414,3.582670,238.503740,33.999170
2896,720,158,3.451951,3.556723,336.084910,-8.894078
2897,436,144,2.955946,4.118300,119.387060,44.240186
2898,515,114,3.987126,4.306548,178.949310,2.454485
2899,862,128,2.200000,2.393799,125.090610,32.127142
2900,1694,578,2.470167,3.667850,192.155480,13.078041
2901,612,633,2.200000,2.940576,230.792280,57.513510
2902,1588,418,2.214033,2.279732,130.872710,28.996278
2903,1044,192,3.145246,4.070928,210.399950,51.953281
2904,1299,555,2.858783,3.364524,134.570090,8.077145
2905,1332,351,2.246014,3.001125,232.220260,46.069080
2906,335,341,3.081787,4.200192,188.446760,-1.814948
2907,727,363,3.073337,4.130517,315.568850,10.818500
2908,852,174,2.290412,2.750160,201.609210,4.448419
2909,1738,216,2.550997,3.047358,134.413030,9.025341
2910,1590,89,2.797085,3.835526,135.752920,30.150328
2911,734,535,2.406829,2.883087,330.319830,12.943467
2912,750,608,3.284995,3.628656,0.751425,16.007709
2913,988,565,3.454001,4.075819,323.622800,0.521772
2914,1978,177,2.383377,3.371078,202.856810,28.611436
2915,1420,249,3.429455,3.494422,244.737010,30.239485
2916,898,67,2.200000,2.757050,137.639300,45.571765
2917,437,199,2.200000,2.264020,119.986770,42.675226
2918,1600,276,2.907962,4.213627,158.693930,11.037362
2919,469,528,2.200000,2.941022,134.996470,2.088823
2920,991,161,2.851681,3.994164,140.542740,4.964438
2921,538,322,3.405045,4.425289,222.783090,2.937678
2922,727,534,2.845478,3.246803,316.521510,10.409548
2923,2036,62,2.200000,2.234439,174.058490,37.322284
2924,449,630,2.949575,4.218349,136.169320,53.844125
2925,2085,142,2.200000,2.488948,133.290440,23.415111
2926,1957,614,2.200000,2.841556,157.024570,36.390927
2927,1457,339,2.214773,2.664049,192.153380,47.676311
2928,1004,548,2.468569,3.421706,167.907180,7.551650
2929,339,557,2.274540,2.731745,196.959350,-2.061317
2930,1704,253,2.404477,3.145209,211.017640,12.816412
2931,620,152,2.249753,2.348843,240.365260,50.968620
2932,372,5,2.873025,4.068592,330.780780,-0.770023
2933,547,404,2.716639,3.828111,124.541820,44.530235
2934,920,422,3.175902,4.127398,221.119310,-1.395572
2935,1868,257,2.951394,3.719399,115.154530,49.312546
2936,901,504,2.381040,2.853338,144.239710,50.099556
2937,1822,235,3.061162,3.967325,238.677200,4.922396
2938,1744,368,2.731216,4.020983,149.904660,13.204304
2939,578,511,2.200000,2.380434,160.990870,4.640322
2940,1593,218,2.570675,3.236269,141.640430,33.429566
2941,920,422,3.175902,4.127398,221.119310,-1.395572
2942,1297,594,3.209692,4.379947,129.232540,6.684623
2943,1645,135,2.773552,3.890956,218.776890,33.923908
2944,977,255,3.394914,3.438635,258.220720,28.114200
2945,448,483,2.200000,2.472999,132.928790,56.292235
2946,2147,573,3.033205,4.303925,161.646860,9.927664
2947,439,528,2.818127,4.023280,122.728680,46.066075
2948,907,115,3.050889,3.259158,164.541930,55.201574
2949,1456,337,2.642087,3.150476,190.266010,42.234770
2950,1445,638,2.935957,3.845139,177.690050,42.666984
2951,1173,621,2.687656,3.847842,249.300050,38.193126
2952,1982,222,2.377150,2.849239,158.746410,32.617115
2953,887,483,2.200000,2.532894,196.644230,52.547315
2954,1380,578,2.200000,2.261882,215.038890,39.460712
2955,661,55,2.239294,3.307955,21.378579,-10.461061
2956,1420,249,3.429455,3.494422,244.737010,30.239485
2957,1609,284,3.585116,3.613855,176.250940,11.518831
2958,571,276,2.734654,3.998886,147.384470,3.592165
2959,1435,570,2.417829,3.163643,164.799500,41.030893
2960,1019,334,2.200000,2.284741,183.273290,56.062918
2961,1338,525,2.268514,3.174355,247.477870,37.039580
2962,1866,240,2.370935,3.390878,113.136630,43.916787
2963,1714,313,2.810223,3.214044,221.551390,11.569264
2964,2105,146,2.535496,3.525141,183.415680,35.765788
2965,1187,37,4.027480,4.409964,131.215530,5.307727
2966,991,161,2.851681,3.994164,140.542740,4.964438
2967,2006,219,2.200000,2.254575,195.033220,32.659607
2968,830,431,2.351586,3.343982,133.346780,41.855941
2969,1361,543,2.938677,4.049772,161.203290,42.585933
2970,2011,128,2.902567,3.896372,195.101230,29.029878
2971,1054,401,2.821645,3.867424,238.473970,41.202429
2972,396,454,3.081787,4.394748,16.580184,0.806495
2973,1388,154,2.200000,2.545457,233.242700,30.985169
2974,542,118,2.251999,2.705976,116.619410,34.713447
2975,1317,247,2.200000,2.885988,190.480730,56.223041
2976,1203,6,2.894488,3.437229,116.680270,21.148604
2977,455,546,3.040642,3.972602,39.847803,-8.168092
2978,913,56,2.232588,2.304689,207.114310,-3.229405
2979,872,221,2.200000,2.542448,151.246430,47.016118
2980,1324,88,2.786608,3.986402,212.012450,53.865078
2981,948,198,2.281333,3.365366,160.077180,57.413378
2982,1943,588,2.200000,2.305966,145.215050,33.555749
2983,394,247,2.474164,4.278353,12.526473,-0.888683
2984,396,454,3.081787,4.394748,16.580184,0.806495
2985,920,422,3.175902,4.127398,221.119310,-1.395572
2986,919,640,2.338492,2.671078,220.305310,-1.629268
2987,727,534,2.845478,3.246803,316.521510,10.409548
2988,2036,509,3.023003,3.584947,173.378810,38.110605
2989,2096,19,3.442734,4.364651,159.830350,34.751272
2990,973,140,3.077090,4.323042,255.702320,31.679996
2991,815,109,2.200000,2.321886,246.356850,42.866052
2992,571,276,2.734654,3.998886,147.384470,3.592165
2993,570,459,2.590462,3.613044,145.882750,4.463769
2994,920,422,3.175902,4.127398,221.119310,-1.395572
2995,339,474,2.318565,3.045051,196.086350,-2.050824
2996,723,433,2.540384,3.520241,341.381010,-8.995757
2997,1276,176,2.200000,2.368406,146.014810,37.581788
2998,538,219,2.200000,2.616727,223.520910,0.473026
2999,1408,194,3.258438,4.441020,246.187670,27.238549
3000,734,535,2.406829,2.883087,330.319830,12.943467
3001,433,273,2.200000,2.338379,115.393620,38.266499
3002,1240,217,2.326215,2.791255,159.460820,8.240284
3003,1939,638,2.200000,2.892710,143.095390,29.698111
3004,729,480,3.028565,3.880799,319.161640,10.697160
3005,1240,359,2.200000,2.247477,158.301750,9.380481
3006,1042,614,2.200000,2.371821,205.832660,54.348136
3007,742,201,3.093081,3.633933,345.092430,12.898365
3008,1227,387,2.691904,3.852881,177.772640,10.661462
3009,1240,359,2.200000,2.247477,158.301750,9.380481
3010,441,220,2.430444,3.617607,123.793010,46.981972
3011,1595,248,2.200000,2.395839,146.210430,34.790641
3012,1194,507,3.178788,3.741506,138.891530,7.316714
3013,2036,62,2.200000,2.234439,174.058490,37.322284
3014,1420,103,2.945030,3.745832,244.890220,30.354203
3015,1574,519,2.971461,4.095530,246.416040,25.266334
3016,390,271,3.171097,4.274205,4.958558,-0.677994
3017,327,591,2.319329,3.299570,174.659430,-2.102011
3018,870,540,2.743263,3.605668,142.796370,44.626832
3019,828,232,2.574788,3.359287,128.710880,38.560288
3020,1051,277,2.209596,2.657971,230.035140,44.408025
3021,926,573,2.498246,2.987067,236.137970,-1.166039
3022,1668,342,2.223668,2.871227,200.844810,51.625182
3023,753,378,2.771815,3.648684,5.333549,15.857140
3024,962,461,2.246761,2.936052,159.534370,47.526479
3025,1676,561,2.200000,2.852278,225.609110,45.647969
3026,1047,409,2.200000,2.605887,219.755670,50.711403
3027,1356,32,2.707237,3.784581,152.483550,39.288449
3028,1612,230,2.200000,3.064138,182.324740,11.641764
3029,986,586,3.284995,3.808925,319.269880,1.111928
3030,757,20,2.257994,3.265286,120.926630,35.913456
3031,1983,194,2.879273,3.638219,163.965880,34.508804
3032,1865,481,2.200000,2.897818,112.511730,43.667511
3033,1436,154,2.901668,3.372553,166.056040,45.278524
3034,2087,342,2.200000,2.938606,137.865620,26.094352
3035,772,174,2.298757,2.445705,157.341070,62.176236
3036,1738,17,2.885531,3.414469,135.686030,9.169975
3037,775,6,2.725206,3.732744,171.729780,60.615511
3038,1362,633,2.647962,3.400768,165.003450,43.748557
3039,753,291,2.675787,3.887303,4.586322,14.314328
3040,775,596,2.786608,3.705628,172.390660,61.946791
3041,1646,192,2.522495,3.590779,220.896500,33.816636
3042,1583,451,3.376736,3.945842,120.024820,21.527121
3043,532,341,3.101572,4.387124,210.443870,2.742965
3044,827,611,2.200000,2.246497,128.670870,38.063670
3045,1612,154,3.279079,3.820082,182.945570,12.405303
3046,1200,321,2.200000,2.787097,136.706780,42.052396
3047,942,344,2.619515,2.714817,148.152470,44.535848
3048,1368,471,2.200000,2.249150,178.043450,45.307168
3049,949,629,2.948665,3.825003,166.004360,58.272607
3050,515,114,3.987126,4.306548,178.949310,2.454485
3051,1922,329,2.289655,3.100095,119.872670,20.184742
3052,1759,283,2.200000,2.536518,128.361750,8.264458
3053,436,144,2.955946,4.118300,119.387060,44.240186
3054,1298,624,2.200740,2.647605,132.525350,7.499726
3055,436,109,2.238548,3.509133,120.104620,44.289777
3056,2096,19,3.442734,4.364651,159.830350,34.751272
3057,1755,562,2.803210,3.988580,175.066590,15.991388
3058,570,614,2.475765,2.580147,146.805720,4.394127
3059,940,542,2.230356,3.006906,145.263560,42.611490
3060,832,163,2.237802,2.636211,138.917030,44.020488
3061,626,126,2.838401,4.041793,248.237790,44.186176
3062,832,163,2.237802,2.636211,138.917030,44.020488
3063,988,565,3.454001,4.075819,323.622800,0.521772
3064,1361,543,2.938677,4.049772,161.203290,42.585933
3065,303,287,2.200000,2.336874,212.610090,-0.836003
3066,1644,498,2.200000,2.410332,216.125570,36.176683
3067,765,18,3.531587,3.868454,137.896700,48.478153
3068,1402,47,3.331620,4.346723,235.918270,34.295679
3069,837,47,4.071663,4.082046,173.587820,3.866923
3070,973,140,3.077090,4.323042,255.702320,31.679996
3071,1690,342,2.426497,3.844021,251.104090,27.693491
3072,1400,461,2.248257,3.051496,230.593850,37.628644
3073,591,381,2.243772,2.870068,228.736850,4.367260
3074,989,125,2.260246,3.143972,323.827020,-1.112534
3075,1609,125,2.543646,3.577067,177.253750,11.340447
3076,1272,406,2.200000,2.588621,135.996870,34.232966
3077,302,486,3.147156,3.665781,211.977230,0.220029
3078,1288,453,2.219218,2.602462,217.891590,46.025639
3079,1011,174,2.200000,2.338330,165.137280,53.138771
3080,1318,147,2.236312,2.273940,195.461890,57.142791
3081,626,126,2.838401,4.041793,248.237790,44.186176
3082,2103,470,3.156716,4.319735,180.088110,36.323933
3083,1457,266,2.703824,3.194432,193.112020,45.963161
3084,1360,171,2.200000,2.240607,157.780660,41.215023
3085,879,248,2.200000,2.411312,171.053310,50.734905
3086,914,201,2.236312,2.688532,208.132620,-3.269904
3087,538,322,3.405045,4.425289,222.783090,2.937678
3088,2006,219,2.200000,2.254575,195.033220,32.659607
3089,859,359,2.932333,3.980730,118.447580,28.301445
3090,1204,436,2.467770,3.379691,118.679280,23.828124
3091,1436,476,2.747575,4.085778,164.484520,45.931415
3092,549,28,2.249005,2.335924,129.880390,46.475617
3093,1735,45,2.200000,2.992670,114.584550,41.454444
3094,663,415,2.220701,3.093402,24.753276,-8.789040
3095,914,201,2.236312,2.688532,208.132620,-3.269904
3096,1839,318,3.229123,4.404430,211.263710,33.697188
3097,1984,157,2.200000,3.045140,188.776300,40.252985
3098,1420,249,3.429455,3.494422,244.737010,30.239485
3099,1304,472,2.200000,2.320925,144.136080,9.463624
3100,568,102,2.612022,3.101521,141.811290,3.140911
3101,1579,170,2.207379,2.655545,238.622510,30.021939
3102,578,563,2.280578,2.715133,161.174030,5.564784
3103,1578,581,2.200000,2.845190,241.892860,29.311648
3104,598,307,2.243772,3.103322,175.530840,64.756733
3105,753,591,2.450248,3.183948,6.651151,15.213078
3106,509,509,2.730357,4.065701,167.535910,2.749478
3107,936,84,2.917873,3.402560,135.568960,36.645895
3108,1822,235,3.061162,3.967325,238.677200,4.922396
3109,483,68,2.200000,2.903748,135.400130,55.857285
3110,551,410,2.917873,4.156078,133.113690,50.753001
3111,350,515,3.052755,3.930497,258.877060,64.888681
3112,1041,77,2.200000,2.359753,203.019520,53.989633
3113,542,118,2.251999,2.705976,116.619410,34.713447
3114,532,517,2.713217,3.957435,212.212130,2.089634
3115,1868,462,2.562463,3.333577,116.931960,50.007682
3116,1051,401,3.171097,4.275858,230.540250,45.773804
3117,1408,194,3.258438,4.441020,246.187670,27.238549
3118,733,482,3.728793,3.760722,327.639550,12.153896
3119,496,597,2.237057,2.638527,202.853070,66.970150
3120,1979,474,3.128101,4.168612,170.532320,31.938578
3121,1824,226,2.786608,3.830408,211.370890,6.587225
3122,2103,607,2.974206,4.264137,181.544180,37.296566
3123,432,31,2.746712,3.721359,116.685580,39.963817
3124,1695,329,2.540384,3.354050,192.827830,13.140395
3125,350,266,2.200000,3.121736,256.770320,64.717588
3126,1003,405,2.205165,2.533191,165.972270,8.063511
3127,983,459,3.141430,4.245762,313.319880,0.989152
3128,2000,266,2.509541,3.460178,189.160650,38.178697
3129,1436,560,2.563283,3.797362,165.653300,46.017044
3130,613,42,2.280578,2.632607,230.192040,58.787614
3131,859,359,2.932333,3.980730,118.447580,28.301445
3132,1041,168,3.294873,3.602510,201.640200,53.298271
3133,839,504,2.200000,2.324836,176.683480,5.636755
3134,880,456,2.257244,2.712203,174.660630,52.905052
3135,1384,214,2.200000,2.752031,224.851010,34.020314
3136,773,634,3.385815,3.415479,162.494130,62.785463
3137,973,140,3.077090,4.323042,255.702320,31.679996
3138,1386,165,2.388054,3.383839,229.283650,33.025688
3139,2105,146,2.535496,3.525141,183.415680,35.765788
3140,1341,190,2.297238,2.666019,250.875550,30.928288
3141,929,441,2.783993,3.659524,120.890180,28.245475
3142,1870,546,2.917873,3.780314,120.691120,53.248964
3143,338,538,3.745154,3.817914,194.675500,-1.506316
3144,611,307,3.136665,4.061296,223.459930,61.019191
3145,495,417,2.334651,3.427904,193.473810,68.287265
3146,996,2,2.821645,3.803975,153.293310,5.608377
3147,449,630,2.949575,4.218349,136.169320,53.844125
3148,1434,631,2.629530,3.441061,164.279120,45.349754
3149,396,454,3.081787,4.394748,16.580184,0.806495
3150,538,322,3.405045,4.425289,222.783090,2.937678
3151,1302,268,2.525740,3.450654,139.976340,8.440789
3152,1750,7,3.136665,4.057939,164.860040,13.112217
3153,1428,616,2.424919,3.362316,157.356260,39.618751
3154,305,479,2.200000,2.868910,216.790900,0.247288
3155,1456,291,2.295720,3.041774,190.621530,41.827389
3156,792,184,3.068650,4.207825,223.866370,55.446459
3157,553,69,2.200000,2.589641,138.457230,51.628874
3158,1020,559,3.078029,3.608123,188.986930,55.140755
3159,436,144,2.955946,4.118300,119.387060,44.240186
3160,1019,114,2.651324,3.614410,185.655060,54.716935
3161,1829,208,2.871242,3.375097,221.218520,5.466338
3162,1440,127,2.610359,3.114361,170.258130,40.421262
3163,1402,47,3.331620,4.346723,235.918270,34.295679
3164,890,322,2.883742,3.912647,118.307580,33.057701
3165,1368,255,2.214033,2.663188,176.723480,44.451886
3166,1828,94,2.393519,2.867504,219.325380,5.300159
3167,749,177,3.209692,4.190006,358.434420,14.590347
3168,1427,347,2.282089,2.740458,153.016520,38.867328
3169,1436,560,2.563283,3.797362,165.653300,46.017044
3170,784,481,2.208118,3.033389,199.781210,62.289263
3171,1342,35,2.607035,3.860801,252.928080,29.863674
3172,1227,387,2.691904,3.852881,177.772640,10.661462
3173,1764,579,3.365664,4.397054,181.878550,15.560592
3174,1676,283,2.922386,3.775433,222.935160,44.672077
3175,915,17,2.200000,2.408808,211.655470,-3.058799
3176,1609,338,2.236312,3.315826,176.788590,13.355103
3177,581,139,2.888216,3.764019,166.960100,3.894625
3178,295,300,2.912464,4.106945,197.718810,-0.925896
3179,1167,3,2.770946,3.298026,235.993450,47.592542
3180,515,114,3.987126,4.306548,178.949310,2.454485
3181,515,51,2.200000,2.590453,178.931730,1.739091
3182,1868,257,2.951394,3.719399,115.154530,49.312546
3183,773,634,3.385815,3.415479,162.494130,62.785463
3184,1416,318,2.297998,2.758466,235.844190,36.045537
3185,1711,87,2.200000,3.483146,220.708840,9.333762
3186,386,28,2.465376,3.209480,358.942270,-0.395248
3187,819,104,2.200740,3.193551,253.393330,34.737123
3188,1588,15,2.565746,3.505431,132.962350,28.460670
3189,517,232,2.200000,2.493928,181.069540,2.353066
3190,372,269,2.200000,2.257803,329.063260,-0.516081
3191,1929,223,2.431234,3.156604,127.696680,22.266013
3192,2103,470,3.156716,4.319735,180.088110,36.323933
3193,1324,410,2.202214,3.134874,210.939700,55.857924
3194,2036,62,2.200000,2.234439,174.058490,37.322284
3195,1980,65,2.584680,3.446575,169.595170,38.810939
3196,1297,594,3.209692,4.379947,129.232540,6.684623
3197,538,322,3.405045,4.425289,222.783090,2.937678
3198,1568,14,2.200000,3.279721,253.846210,18.785677
3199,1044,231,2.200000,2.932696,210.358970,52.142956
3200,1755,562,2.803210,3.988580,175.066590,15.991388
3201,1270,240,2.200000,2.384612,131.416560,30.944986
3202,1001,422,3.416216,4.029348,162.005490,7.498006
3203,1187,37,4.027480,4.409964,131.215530,5.307727
3204,1045,89,2.200740,2.957119,214.767050,49.842542
3205,393,181,2.298757,2.759921,10.847631,-0.264620
3206,791,194,2.200000,2.428132,220.777800,56.520216
3207,1645,135,2.773552,3.890956,218.776890,33.923908
3208,605,525,2.270773,2.497353,211.731950,63.256603
3209,1773,335,2.650483,3.606470,198.115360,15.313635
3210,1574,519,2.971461,4.095530,246.416040,25.266334
3211,1347,119,2.200000,2.579949,213.306830,41.277186
3212,1611,280,2.313984,3.464425,180.449630,12.108414
3213,1322,529,2.603714,3.415103,206.658110,56.821005
3214,1346,84,3.031348,3.974572,210.386530,41.197351
3215,553,127,3.499356,3.532002,137.645630,52.303122
3216,783,28,2.291170,2.355892,199.231720,61.576199
3217,2000,89,2.711507,3.770889,190.540890,37.334905
3218,1602,26,3.175902,4.284709,164.737880,11.024614
3219,477,378,2.243025,3.117667,144.473930,2.666765
3220,1969,26,2.866788,3.331616,161.093620,29.130884
3221,2147,573,3.033205,4.303925,161.646860,9.927664
3222,957,606,2.200000,3.133983,195.861610,60.512502
3223,1839,318,3.229123,4.404430,211.263710,33.697188
3224,1668,575,2.423342,3.558950,203.702940,52.221665
3225,1194,341,2.714072,3.674404,137.377880,7.267306
3226,1739,369,2.685958,3.524746,137.809120,11.078624
3227,1205,131,2.200000,2.839547,120.668710,24.959074
3228,750,608,3.284995,3.628656,0.751425,16.007709
3229,936,84,2.917873,3.402560,135.568960,36.645895
3230,893,372,2.932334,3.699451,124.286970,38.510003
3231,1379,419,3.299821,3.900500,211.096010,40.086399
3232,1768,454,2.908862,3.786650,188.131320,16.045664
3233,1696,405,2.490200,2.532756,196.200270,13.071277
3234,755,529,2.240040,3.006094,116.612350,32.491515
3235,1276,347,2.200000,3.149110,144.471950,38.273704
3236,556,540,2.200000,2.283612,146.258450,56.040508
3237,951,608,2.200000,2.380761,171.931830,59.727410
3238,1709,514,3.187457,4.089936,218.253720,10.507717
3239,1931,499,2.200000,2.630904,131.570020,24.452150
3240,1402,47,3.331620,4.346723,235.918270,34.295679
3241,2096,437,2.843708,3.984383,158.484220,35.962540
3242,1770,510,2.998990,3.944624,192.431970,15.451962
3243,967,104,3.067713,3.554188,176.034270,49.026145
3244,1416,534,2.363956,2.417351,236.802040,37.215683
3245,1408,194,3.258438,4.441020,246.187670,27.238549
3246,2081,450,2.228868,2.502204,121.108140,18.561011
3247,1589,421,2.578082,3.555376,132.982420,30.105022
3248,1658,390,2.514393,3.255594,245.438300,22.534382
3249,1602,26,3.175902,4.284709,164.737880,11.024614
3250,1676,56,2.262499,2.469554,225.696730,44.895341
3251,2085,476,4.010146,4.444466,132.932200,23.535826
3252,451,174,2.893591,4.033932,140.734160,56.313684
3253,1593,474,2.876594,3.418598,142.272730,34.076235
3254,1164,584,2.675787,3.742150,226.682560,53.526214
3255,1668,175,2.439144,3.167900,202.824860,51.073668
3256,2210,450,3.121453,4.040823,250.307310,13.699694
3257,991,521,2.200000,2.876870,141.072200,6.014917
3258,2091,266,2.311695,2.774187,164.489600,36.550599
3259,277,341,2.200000,2.776771,164.535310,0.658525
3260,1770,510,2.998990,3.944624,192.431970,15.451962
3261,836,600,2.708945,3.663831,171.956050,5.194608
3262,1198,531,2.200000,2.972732,134.637590,40.200891
3263,1699,302,3.220368,4.355306,201.302060,11.391604
3264,1288,185,2.200000,2.281018,217.568420,44.720816
3265,1353,503,2.200000,2.260704,228.917370,36.090446
3266,1016,438,2.213293,2.274712,176.370900,55.274258
3267,495,417,2.334651,3.427904,193.473810,68.287265
3268,436,253,2.881954,3.757930,118.336150,43.642483
3269,1706,177,2.200000,2.409352,213.968730,12.958560
3270,1608,225,2.916069,3.800847,175.538610,11.875742
3271,2115,442,2.400559,2.875800,207.209310,26.417852
3272,1040,3,2.200000,3.045942,199.912090,53.064837
3273,893,242,2.621182,3.419588,123.710310,37.163843
3274,538,322,3.405045,4.425289,222.783090,2.937678
3275,820,84,2.255745,2.710768,254.196820,34.857676
3276,1296,377,2.200000,2.914480,125.737690,7.017862
3277,794,102,2.815490,3.810232,231.519910,52.488945
3278,1614,621,2.433605,3.187245,187.109730,13.018396
